"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","DQ Score"
"TOI","SAN","165343","TENA Lady Normal 12pk","Tena","12pk",0.9125
"TOI","SAN","194199","TENA Lady Extra 10pk","Tena","10pk",0.9125
"TOI","SAN","226914","TENA Lady Extra Plus 8pk","Tena","8pk",0.9125
"TOI","SAN","243209","TENA Lady Discreet Mini 20pk","Tena","20",0.9125
"TOI","SAN","253704","TENA Men Absorbent Protector Level 2 10pk","Tena","10pk",0.9125
"TOI","SAN","268846","TENA Lady Normal Duo Pack 24pk","Tena","24pk",0.9125
"TOI","SAN","268847","TENA Lady Extra Duo Pack 20pk","Tena","20",0.9125
"TOI","SAN","272953","TENA Lady Maxi Night 6pk","Tena","1",0.9125
"TOI","SAN","285566","TENA Lady Normal Aloe Vera 12pk","Tena","4pk",0.9125
"TOI","SAN","305114","Lights By TENA Liners Single Wrap 22pk","Tena","22pk",0.9125
"TOI","SAN","305118","Lights By TENA Light Liners 28pk","Tena","28pk",0.9125
"TOI","SAN","305120","Lights By TENA Liners 24pk","Tena","24pk",0.9125
"TOI","SAN","332585","Lights By TENA Liners Duo Pack 48pk","Tena","48pk",0.9125
"TOI","SAN","351917","TENA Pants Super Medium 12pk","Tena","12",0.9125
"TOI","SAN","351918","TENA Pants Plus Medium 9pk","Tena","9",0.9125
"TOI","SAN","351919","TENA Pants Super Large 12pk","Tena","12",0.9125
"TOI","SAN","352122","Lights By TENA Long Liners 20pk","Tena","20",0.9125
"TOI","SAN","418192","TENA Pants Plus Extra Large 12pk","Tena","12",0.9125
"TOI","SAN","418193","TENA Pants Plus Large 8pk","Tena","1",0.9125
"TOI","SAN","418196","TENA Men Protective Underwear Level 4 8pk","Tena","1",0.9125
"TOI","SAN","441960","TENA Lady Discreet Pants Large 10pk","Tena",NA,0.825
"TOI","SAN","441961","TENA Lady Discreet Pants Medium 12pk","Tena",NA,0.825
