"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","DQ Score"
"TOI","DEN","117017","Colgate Plax Mouthwash Soft Mint 500ml","Colgate","500ml",NA,NA,"No",0.65
"TOI","DEN","207141","Colgate Toothpaste Pump Cool Stripe 100ml","Colgate","100ml",NA,NA,"No",0.65
"TOI","DEN","209850","Colgate Toothbrush Twister  Medium 2pk","Colgate","Medium","Multi","1","No",0.65
"TOI","DEN","260457","Colgate Toothbrush Pro Relief Sensitive Soft 1pk","Colgate","One Size","Multi","1","No",0.65
"TOI","DEN","274546","Colgate Toothpaste Cavity Protection Fresh Gel75ml","Colgate","75ml","Multi",NA,"No",0.65
"TOI","DEN","280447","Colgate Plax Mouthwash Mild Mint 500ml","Colgate","500ml",NA,"1","No",0.65
"TOI","DEN","280448","Colgate Toothpaste Fresh Gel 100ml","Colgate","100ml","Multi","1","No",0.65
"TOI","DEN","280450","Colgate Toothpaste Pump Advanced White 100ml","Colgate","100ml","Multi","1","No",0.65
"TOI","DEN","283980","Colgate Toothpaste Pro Relief Sensitive 75ml","Colgate","75ml","Multi","1","No",0.65
"TOI","DEN","293044","Colgate Extra Clean Toothbrush","Colgate","Medium",NA,NA,"No",0.65
"TOI","DEN","295099","ColgateToothpaste Pro Relief and Whitening 75ml","Colgate","75ml","Multi","1","No",0.65
"TOI","DEN","296509","Colgate Toothbrush Spiderman Battery PoweredExtra Soft 1pk","Colgate","One Size","Multi","1","No",0.65
"TOI","DEN","304739","Colgate Toothpaste Pump Total Advanced Whitening100ml","Colgate","100ml","Multi","1","No",0.65
"TOI","DEN","305555","Colgate Plax Mouthwash Alcohol Free 250mlCool Mint","Colgate",NA,"Multi","1","No",0.65
"TOI","DEN","313508","Colgate Toothpaste Sensitive Pro Relief MultiProtection 75ml","Colgate","75ml","Multi","1","No",0.65
"TOI","DEN","313509","Colgate Toothpaste Max One White 75ml","Colgate","75ml","Multi","1","No",0.65
"TOI","DEN","319737","Colgate Toothpaste Total Advanced Whitening125ml","Colgate","125ml","Multi",NA,"No",0.65
