"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Coverage","DQ Score"
"DEC","WAL","451497","Holden K2 Border Squares Chocolate","Holden","5m x 0.13m","Brown","1","Paper","N/A",1
"DEC","WAL","451498","Holden K2 Border Kittens Multi","Holden","5m x 0.13m","Multi","1","Paper","N/A",1
"DEC","WAL","451499","Holden K2 Border Cassia Floral Neutral","Holden","5m x 0.13m","Brown","1","Paper","N/A",1
"DEC","WAL","451500","Holden K2 Border Megan Floral Duck Egg and Pink","Holden","5m x 0.13m","Multi","1","Paper","N/A",1
"DEC","WAL","451501","Holden K2 Border Cassia Floral Teal","Holden","5m x 0.13m","Green","1","Paper","N/A",1
"DEC","WAL","451502","Holden K2 Border Barcode Stripe Black and White","Holden","5m x 0.13m","Multi","1","Paper","N/A",1
"DEC","WAL","451503","Holden K2 Border Swirl Mocha","Holden","5m x 0.13m","Brown","1","Paper","N/A",1
"DEC","WAL","451504","Holden K2 Border Ornamental Grey","Holden","5m x 0.13m","Grey","1","Paper","N/A",1
