"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Power","DQ Score"
"TOY","SST","424697","BCE Multi Games Table Snooker/Pool/Dartboard 6ft","Riley","Black","1",NA,0.833333333333333
"TOY","SST","424707","Riley Azteca Football Table 4ft","Riley",NA,"1","220/240V Fan Motor",0.883333333333333
"TOY","SST","424708","Riley Olmpic Football Table 4ft 6in","Riley",NA,"1","220/240V Fan Motor",0.883333333333333
