"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Material","Assembly","DQ Score"
"HOM","FUR","p100124","Boston-Lyon Bedside Chest 2 Drawers","Lyon","Wood","Ash Veneer Top and Plywood","Yes",0.941666666666667
"HOM","FUR","p200122","Boston-Lyon Wardrobe White + Ash 1 Door","Lyon","Wood","Ash Veneer Top and Plywood","Yes",0.941666666666667
