"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","DQ Score"
"TOI","MEN","100436","Just for Men Medium Brown","Just For Men","Brown","1",0.93
"TOI","MEN","100437","Just for Men Dark Brown","Just For Men","Brown","1",0.93
"TOI","MEN","125972","Just for Men Black","Just For Men","Black","1",0.93
"TOI","MEN","162342","Just for Men Light Brown","Just For Men","Brown","1",0.93
"TOI","MEN","450561","Control GX Shampoo 147ml","Just For Men",NA,"1",0.81
"TOI","MEN","450562","Control GX Shampoo & Conditioner 147ml","Just For Men",NA,"1",0.81
