"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","DQ Score"
"TOI","DEN","281587","Aquafresh Kids Toothpaste My Big Teeth 50ml","Aquafresh","50ml","Multi","1","No",0.65
"TOI","DEN","347801","Aquafresh Kids Mouthwash My Big Teeth Fruity300ml","Aquafresh","300ml",NA,NA,"No",0.65
"TOI","DEN","419193","Aquafresh Toothpaste White and Shine 75ml","Aquafresh","75ml",NA,NA,"No",0.65
"TOI","DEN","421907","Aquafresh Toothbrush Complete Care Medium 1pk","Aquafresh",NA,NA,"1","No",0.65
"TOI","DEN","421908","Aquafresh Mouthwash Complete Care Fresh Mint500ml","Aquafresh","500ml",NA,"1","No",0.65
"TOI","DEN","434811","Aquafresh Toothpaste Complete Care Extra Fresh75ml","Aquafresh","75ml",NA,"1","No",0.65
"TOI","DEN","456346","Aquafresh Toothbrush Medium 3pk","Aquafresh",NA,NA,NA,NA,1
