"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Material","Washable","DQ Score"
"HOM","BLI","sf00007","Wilko Hardwood Venetian Blind Chalk 90cm 27mm","Sunlover","90x152cm","Cream","Wood","Wipe Clean Only",0.9
"HOM","BLI","sf00009","Wilko Hardwood Venetian Blind Chalk 120cm 27mm","Sunlover","120x152cm","Cream","Wood","Wipe Clean Only",0.9
"HOM","BLI","sf00010","Wilko Hardwood Venetian Blind Chalk 150cm 27mm","Sunlover","150x152cm","Cream","Wood","Wipe Clean Only",0.9
"HOM","BLI","sf00168","Wilko Hardwood Venetian Blind Natural 60cm x 27mm","Sunlover","60x152cm","Cream","Wood","Wipe Clean Only",0.9
"HOM","BLI","sf00170","Wilko Hardwood Venetian Blind Natural 90cm x 27mm","Sunlover","90x152cm","Cream","Wood","Wipe Clean Only",0.9
"HOM","BLI","sf00172","Wilko Hardwood Venetian Blind Natural 120cm x 27mm","Sunlover","120x152cm","Cream","Fabric","Wipe Clean Only",0.9
"HOM","BLI","sf00175","Wilko Hardwood Venetian Blind Natural 60cm 27mm","Sunlover","60x152cm","Wood","Wood","Wipe Clean Only",0.9
"HOM","BLI","sf00182","Wilko Hardwood Venetian Blind Oak 60cm x 27mm","Sunlover","60x152cm","Wood","Wood","Wipe Clean Only",0.9
"HOM","BLI","sf00184","Wilko Hardwood Venetian Blind Oak 90cm x 27mm","Sunlover","90x152cm","Wood","Wood","Wipe Clean Only",0.9
"HOM","BLI","sf00186","Wilko Hardwood Venetian Blind Oak 120cm x 27mm","Sunlover","120x152cm","Wood","Wood","Wipe Clean Only",0.9
