"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Coverage","Model Number","DQ Score"
"DEC","WAL","241091","Contour Wallpaper Cafe Culture Sculptured Grey 15280","Contour","10m x 0.52m","Grey","10","No","5.2m²","15280",0.65
"DEC","WAL","277211","Contour Wallpaper Cappuccino Sculptured Vinyl Red/Black 17207","Contour","10m x 0.52m","Multi","1","No","5.2m²","17207",0.65
