"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Washable","Age","DQ Score"
"SBK","GIF","449647","Shopkins Wrap 2 Sheet 2 Tag","Shopkins","70 x 50cm","Multi","1",NA,NA,0.941666666666667
"SBK","KFL","430701","Shopkins Lockable Diary","Shopkins","15.3 X 11.4 X 1.7",NA,"1",NA,NA,1
"SBK","KFL","430702","Shopkins Notebook A7 with Pencil","Shopkins","A7",NA,"1",NA,NA,1
"SBK","PAR","441562","Shopkins Plates 8pk","Shopkins","23cm",NA,"8",NA,NA,1
"SBK","PAR","441563","Shopkins Party Cups 8pk","Shopkins","260ml",NA,"8",NA,NA,1
"SBK","PAR","441564","Shopkins Party Napkins 16pk","Shopkins","33cm x 33cm",NA,"16",NA,NA,1
"SBK","PAR","441565","Shopkins Party Tablecover","Shopkins","138cm x 183cm",NA,"1",NA,NA,1
"SBK","PAR","441566","Shopkins Party Bags 8pk","Shopkins","23cm x 16.5cm",NA,"8",NA,NA,1
"SBK","PAR","441567","Shopkins Party Invitations 20pk","Shopkins","21cm x 15cm","Pink","20",NA,NA,1
"TOI","ACB","430351","Shopkins Bath and Shower Bubbles 400ml","Shopkins",NA,NA,"1",NA,NA,0.9125
"TOI","ACB","430352","Shopkins Magic Facecloth","Shopkins",NA,NA,"1",NA,NA,0.9125
"TOY","FAN","428006","Shopkins 5pk","Shopkins",NA,"Multi","5","Wipe Clean Only","5 Years +",0.9
"TOY","FAN","428007","Shopkins Deluxe Pack Asst","Shopkins",NA,"Multi","1","Wipe Clean Only","5 Years +",0.95
"TOY","FAN","428008","Shopkins Shoppies Doll Asst","Shopkins",NA,"Multi","1","Wipe Clean Only","5 Years +",0.95
"TOY","FAN","448259","Shopkins 12pk","Shopkins",NA,"Multi","1",NA,"5 Years +",0.9
"TOY","POC","409218","Shopkins Basket Collectable Characters 2pk","Shopkins",NA,NA,"2 Pack",NA,"5+",0.883333333333333
