"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Material","Assembly","DQ Score"
"HOM","FUR","p100126","Boston-Lyon Bed Single","New Boston","Single","Wood","Ash Veneer","Yes",0.95
"HOM","FUR","p100128","Boston-Lyon Bed Kingsize","New Boston","Kingsize","Wood","Ash Veneer","Yes",0.95
