"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Age","DQ Score"
"TOI","FOO","288457","Cow & Gate Infant Milk Hungrier Babies 900g","Cow n Gate","900g","1",NA,0.88
"TOI","FOO","288458","Cow & Gate First Infant Milk Stage 1 200ml","Cow n Gate","200ml",NA,NA,0.81
"TOI","FOO","288459","Cow & Gate Infant Milk Hungrier Babies 200ml","Cow n Gate","200ml",NA,NA,0.81
"TOI","FOO","288460","Cow And Gate Baby MilkFollow On 2 900g","Cow n Gate","200ml","1",NA,0.88
"TOI","FOO","288461","Cow & Gate First Infant Milk Stage 1 900g","Cow n Gate","900g","1",NA,0.88
"TOI","FOO","288512","Cow & Gate Follow on Milk Stage 3 900g","Cow n Gate","900g","1",NA,0.88
"TOI","FOO","288513","Cow & Gate Growing Up Milk 1 Year Plus 900g","Cow n Gate","900g",NA,NA,0.81
"TOI","FOO","290545","Cow & Gate Pure Baby Rice 100g","Cow n Gate","100g","1",NA,0.88
"TOI","FOO","290553","Cow & Gate Spaghetti Bolognese 200g","Cow n Gate","200g","1",NA,0.88
"TOI","FOO","290556","Cow & Gate Grandpas  Sunday Lunch 125g","Cow n Gate","125g","1",NA,0.88
"TOI","FOO","290563","Cow & Gate Growing Up Milk 1-2 Years 200ml","Cow n Gate","200ml",NA,NA,0.81
"TOI","FOO","352386","Cow & Gate Baby Porridge Banana 125g","Cow n Gate","125g","1","4-6 months+",0.95
"TOI","FOO","352482","Cow & Gate Baby Fruit PotApricot And Strawberry 4x100g","Cow n Gate","400g","1","4-6 months+",0.95
"TOI","FOO","352488","Cow & Gate My 1st Spaghetti Bolognese 125g","Cow n Gate","125g","1","4-6 months+",0.95
"TOI","FOO","352491","Cow & Gate Creamy Cauliflower  Cheese 200g","Cow n Gate","200g","1","7 months+",0.95
