"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Age","DQ Score"
"SBK","KID","201053","Crayola Super Tips Colouring Pens 12pk","Crayola","12 pack",NA,"12",NA,0.93
"SBK","KID","230187","Crayola Beginnings First Markers 8pk","Crayola","8 pack",NA,"8",NA,0.93
"SBK","KID","231614","Crayola Crayons 24pk","Crayola","24 pack",NA,"24",NA,0.93
"SBK","KID","281129","Crayola Coloured Pencils 12pk","Crayola",NA,NA,"12pk",NA,0.86
"SBK","KID","317878","Crayola Washable Paint 6pk","Crayola",NA,NA,"6pk","36 Months",0.93
"SBK","KID","349526","Crayola Colour Pencils 24pk","Crayola",NA,NA,"24pk",NA,0.86
"SBK","KID","349527","Crayola Washable Paints 18pk","Crayola",NA,NA,"18pk",NA,0.86
"SBK","KID","433171","Crayola Supertips 24pk","Crayola",NA,"Multi","24",NA,0.93
"SBK","KID","452974","Crayola Twistable Crayons 12pk","Crayola",NA,"Multi","24",NA,0.88
"SBK","KID","452975","Crayola Dual Sided Pencils 12pk","Crayola",NA,"Multi","24",NA,0.88
"SBK","KID","452976","Crayola Erasable Coloured Pencils 10pk","Crayola",NA,"Multi","24",NA,0.88
"TOY","CRE","439417","Crayola Creations Thread Wrapper","Crayola",NA,"Multi","1","8 Years +",0.891666666666667
