"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","DQ Score"
"DIY","MOT","343356","Little Tree Black Ice Car Freshener","Little Tree",NA,"1",0.86
"DIY","MOT","343358","Little Tree Bubble Berry Car Freshener","Little Tree",NA,"1",0.86
"DIY","MOT","411104","Little Trees Car Freshener Arctic White","Little Tree",NA,"1",0.9125
"DIY","MOT","412356","Little Trees Car Freshener New Car","Little Tree","Blue","1",0.93
"DIY","MOT","450016","Little Trees Car Air Freshener Vent Clip Vanilla","Little Tree",NA,"1pk",0.9125
"DIY","MOT","450017","Little Trees Car Air Freshener Vent Clip Clean Laundry","Little Tree",NA,"1pk",0.9125
