"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Power","DQ Score"
"TOY","SST","424698","BCE Multi Games Table Pool/Tennis 6ft","BCE",NA,"1",NA,0.825
"TOY","SST","424703","BCE Black Cat Pool Table 7ft","BCE","Black","1",NA,0.883333333333333
"TOY","SST","424705","BCE Air Raider Air Hockey Table 5ft","BCE",NA,"1","220/240V Fan Motor",0.883333333333333
"TOY","SST","424706","BCE Viper Air Hockey Table 6ft","BCE","Black","1","220/240V Fan Motor",0.941666666666667
"TOY","SST","424712","BCE Table Tennis Top 6ft","BCE","Blue","1","220/240V Fan Motor",0.941666666666667
"TOY","SST","424713","BCE Table Tennis Table 6ft","BCE","Blue","1","220/240V Fan Motor",0.941666666666667
