"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","DQ Score"
"GAR","SUN","338561","Decking Weed Brush Heavy Duty Wood","Charles Bentley",NA,0.716666666666667
"HOU","MOP","437058","Hertiage Cotton Mop","Charles Bentley","1",0.95
"HOU","MOP","437059","Heritage Housekeepers Box","Charles Bentley","1",0.95
"HOU","MOP","437060","Heritage Metal Mop Bucket","Charles Bentley","1",0.95
"HOU","MOP","437061","Heritage Hand Shovel","Charles Bentley","1",0.95
"HOU","MOP","437062","Heritage Handled Feather Duster","Charles Bentley","1",0.95
"HOU","MOP","437063","Heritage Handled Dustpan Set","Charles Bentley","1",0.95
"HOU","MOP","437064","Heritage Dustpan and Brush Set","Charles Bentley","1",0.95
"HOU","MOP","437065","Heritage Wooden Clothes Pegs","Charles Bentley","24",0.95
"HOU","MOP","437066","Heritage Peg Caddy","Charles Bentley","1",0.95
"HOU","MOP","437069","Heritage Long Handled Radiator Brush","Charles Bentley","1",0.95
"HOU","MOP","441963","Heritage Wooden Nail Brush","Charles Bentley","1",0.95
