"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"TOI","BAB","231794","Milton Sterilising Tablets 28pk","Milton","112g","15pk",1
"TOI","BAB","242082","Milton Antibacterial Surface Spray 500ml","Milton","500ml","1",1
"TOI","BAB","341556","Milton Sterilising Fluid 1L","Milton","1L","1",1
