"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","DQ Score"
"TOI","SAN","125949","Always Maxi Long Plus 12pk","Always",NA,"12",NA,0.75
"TOI","SAN","204646","Always Maxi Night 10pk","Always",NA,"10pk",NA,0.8
"TOI","SAN","255191","Always Normal Breathable Panty Liners Normal 60pk","Always","Normal","60pk",NA,0.85
"TOI","SAN","273839","Always Dailies Liner Long Plus 44pk","Always",NA,"44",NA,0.8
"TOI","SAN","279855","Always Liner Fresh Wrapped 20pk","Always",NA,"20pk",NA,0.8
"TOI","SAN","287300","Always Ultra Duo Normal Plus/Long 26pk","Always",NA,"1",NA,0.75
"TOI","SAN","287351","Always Ultra Duo Long Plus 22pk","Always",NA,"22",NA,0.75
"TOI","SAN","287353","Always Ultra Duo Normal 30pk","Always",NA,"30",NA,0.8
"TOI","SAN","332924","Always Dailies Pantyliners Normal 32pk","Always","Normal","32pk",NA,0.85
"TOI","SAN","332925","Always Dailies Pantyliners Long Plus 24pk","Always","Long Plus","24pk",NA,0.85
"TOI","SAN","332933","Always Dailies Pantyliners Discreet Incredibly Thin 30pk","Always",NA,"30pk",NA,0.8
"TOI","SAN","332935","Always Dailies Pantyliners Discreet Normal 24pk","Always","Normal","24pk",NA,0.85
"TOI","SAN","352822","Always Discreet Liners Plus 20pk","Always",NA,"1",NA,0.9125
"TOI","SAN","352824","Always Discreet Normal 12pk","Always",NA,"12",NA,0.9125
"TOI","SAN","352826","Always Discreet Long 10pk","Always",NA,"10",NA,0.9125
"TOI","SAN","352831","Always Discreet Pants Med 12pk","Always",NA,"12",NA,0.9125
"TOI","SAN","352832","Always Discreet Pants Large 10pk","Always",NA,"10",NA,0.9125
"TOI","SAN","416093","Always Sensitive Normal Pads 16pk","Always",NA,"16",NA,0.8
"TOI","SAN","416104","Always Sensitive Normal Plus Pads 14pk","Always",NA,"14",NA,0.8
"TOI","SAN","416532","Always Ultra Duo Pads Night 20pk","Always",NA,"20",NA,0.8
"TOI","SAN","430186","Always Dailies Pantyliner Large","Always",NA,"52",NA,0.8
"TOI","SAN","432901","Always Ultra Mainline Single Night","Always",NA,NA,NA,0.75
"TOI","SAN","432902","Always Ultra Single Long Plus","Always",NA,NA,NA,0.75
"TOI","SAN","432903","Always Ultra Single Normal","Always",NA,NA,NA,0.75
"TOI","SAN","432904","Always Ultra Single Normal Plus","Always",NA,NA,NA,0.75
"TOI","SAN","441181","Always Discreet Long Plus Pads 8pk","Always",NA,NA,NA,0.825
"TOI","SAN","441182","Always Ultra Single Secure Night 9pk","Always",NA,NA,"No",0.65
