"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Age","DQ Score"
"TOY","FAN","456434","Hatchimals Colleggtible Blind Egg","Hatchimals","Multi","1","5 Years +",0.85
"TOY","FAN","456436","Hatchimals Colleggtible and Bonus Egg 4pk","Hatchimals","Multi","4","5+",0.85
