"PSA_1","PSA_2","Article","Web Description","Brand","Size","DQ Score"
"DIS","BIN","5584640","Inglenook Hearth Cheek Brick","Harewood","15cmx3.5cmx17cm",0.81
"DIS","BIN","5585940","Inglenook Hearth Brick","Harewood","3.8cmx23cmx15.5cm",0.81
