"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Capacity","Age","DQ Score"
"TOI","DEN","151657","Listerine Mouthwash Coolmint 500ml","Listerine","500ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","191107","Listerine Antibacterial Mouthwash  Freshburst 500m","Listerine","500ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","210299","Listerine Teeth and Gum Mouthwash  Fresh Mint500ml","Listerine","500ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","260338","Listerine Mouthwash Total Care Clean Mint 500ml","Listerine","500ml","Multi",NA,"No",NA,"12 Years",0.65
"TOI","DEN","281641","Listerine Total Care Sensitive Antibacterial Mouthwash 500ml","Listerine",NA,"Multi",NA,"No","500ml",NA,0.65
"TOI","DEN","293267","Listerine Mouthwash Cool Citrus 250ml","Listerine",NA,NA,"1","No",NA,NA,0.65
"TOI","DEN","315819","Listerine Zero Mouthwash Mild Mint 500ml","Listerine","500ml","Multi","1","No","500ml",NA,0.65
"TOI","DEN","315893","Listerine Mouthwash Total Care Zero Smooth Mint500ml","Listerine","500ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","34269","Listerine Mouthwash Original 500ml","Listerine","500ml",NA,"1",NA,NA,NA,0.93
"TOI","DEN","433130","Listerine Mouthwash Spearmint 250ml","Listerine",NA,NA,NA,"No",NA,NA,0.65
"TOI","TRA","266855","Listerine Mouthwash Total Care Clean Mint 95ml","Listerine","95ml",NA,"1",NA,NA,NA,1
"TOI","TRA","292145","Listerine Mouthwash Stay White Arctic Mint 95ml","Listerine","95ml",NA,NA,NA,NA,NA,0.9125
