"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Model Number","DQ Score"
"GAR","NET","416133","Greenhurst Powertek Solar Post Lights AdjustableSet of 2","Gablemere","12 x 14.5 x 14.5","Brown","2pk",NA,NA,NA,"Solar",NA,0.95
"GAR","PCL","434003","Greenhurst Georgina Style Planters 4pk Chocolate","Gablemere","Large - H26.5 x 34cm Dia, Medium - H22 x 28cm Dia",NA,NA,NA,"No",NA,NA,NA,0.88
"GAR","PCL","434004","Greenhurst Georgina Style Planters 4pk Black","Gablemere","Large - H26.5 x 34cm Dia, Medium - H22 x 28cm Dia",NA,NA,NA,"No",NA,NA,NA,0.88
"GAR","PCL","434010","Greenhurst Wenlock Planter 4pk Grey","Gablemere","Medium - H23 x 33cm Dia, Small - H18 x 25.5cm Dia","Grey",NA,NA,"No",NA,NA,NA,0.95
"GAR","PCL","456337","Greenhurst Garden Planters Wood Effect Barrel 4pk","Gablemere",NA,NA,NA,NA,NA,NA,NA,NA,0.775
"GAR","PCL","456338","Gablemere Garden Planters Chalkboard Crate 3pk","Gablemere","H18 x L38 / 28.5 x D25 / 16cm",NA,NA,NA,"No",NA,NA,NA,0.93
"GAR","SUN","407851","Greenhurst Trellis Planter With Solar LightVerdigris","Gablemere","Planter Depth: 31.5","Green",NA,NA,"No",NA,NA,NA,0.95
"GAR","SUN","407852","Greenhurst Trellis Planter with Solar Lighs BronzeEffect","Gablemere","Planter Depth: 31.5","Metal",NA,NA,"No",NA,NA,NA,0.95
"GAR","SUN","407861","Solar Gutter Lights Black Set of 2","Gablemere","18 x 13 x 13","Black","2",NA,NA,NA,NA,NA,0.891666666666667
"SES","GFN","407829","Gablemere Garden Bench Bronze","Gablemere","114cm (W) x 54cm (D) x 81cm (H)","Metal","1","Powder Coated Steel","No",NA,NA,NA,0.65
"SES","GFN","407841","Greenhurst Garden Patio Set Rose Arm Chair Bronze","Gablemere","67cm","Metal",NA,"Polyurethane","No",NA,NA,NA,0.95
"SES","GFN","435247","Greenhurst Rose Armchair Patio Set 3pc","Gablemere","Chairs - H89 x W46 x D43cm, Table - H66 x 69cm Dia",NA,NA,"Polyurethane","No",NA,NA,NA,0.891666666666667
"SES","GFN","456334","Greenhurst Garden Bench Cushion Waterproof Natural","Gablemere","L108 x W42 x D5cm","Cream","1","Polyester","No","Hand Wash Only",NA,"4105",0.6
"SES","GFN","456336","Greenhurst Garden Bench Cushions WaterproofTangerine","Gablemere","L108 x W42 x D5cm","Orange","1","Polyester","No","Hand Wash Only",NA,"4106",0.6
"SES","GFN","456340","Greenhurst Garden Seat Glider Single","Gablemere",NA,NA,NA,NA,NA,NA,NA,NA,0.775
"SES","GFN","456341","Greenhurst Low Level Garden Glider Table","Gablemere",NA,NA,NA,NA,NA,NA,NA,NA,0.775
