"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Material","Assembly","DQ Score"
"GAR","SUN","416263","Forest Garden Lap Fence Panel 6ft x 3ft Pk of 3","Forest Garden","91 x 183 x 4","Brown",NA,NA,1
"GAR","SUN","416267","Forest Garden Lap Fence Panel 6ft x 4ft Pk of 3","Forest Garden","H122 x W183 x D4cm","Brown",NA,NA,1
"GAR","SUN","416271","Forest Garden Lap Fence Panel 6ft x 5ft Pk of 3","Forest Garden","H122 x W183 x D4cm","Brown",NA,NA,1
"GAR","SUN","416275","Forest Garden Lap Fence Panel 6ft x 6ft Pk of 3","Forest Garden","H122 x W183 x D4cm","Brown",NA,NA,1
"GAR","SUN","416289","Forest Garden Hamburg Screen Panel 1.8m Pk of 6","Forest Garden","H122 x W183 x D4cm","Brown",NA,NA,1
"GAR","SUN","416290","Forest Garden Prague Fence Panel 1.8m Pk of 3","Forest Garden","H122 x W183 x D4cm","Brown",NA,NA,1
"GAR","SUN","416298","Forest Garden Close Board Fence Panel 3ft Pk of 3","Forest Garden","H122 x W183 x D4cm","Brown",NA,NA,1
"GAR","SUN","416302","Forest Garden Close Board Fence Panel 4ft Pk of 3","Forest Garden","H122 x W183 x D4cm","Brown",NA,NA,1
"GAR","SUN","416306","Forest Garden Close Board Fence Panel 5ft Pk of 3","Forest Garden","H122 x W183 x D4cm","Brown",NA,NA,1
"GAR","SUN","416310","Forest Garden Close Board Fence Panel 6ft Pk of 3","Forest Garden","H122 x W183 x D4cm","Brown",NA,NA,1
"GAR","SUN","416320","Forest Garden Pale Fence Panel Pk of 5","Forest Garden","H122 x W183 x D4cm","Brown",NA,NA,1
"GAR","SUN","416321","Forest Garden Pale Fence Panel Pk of 6","Forest Garden","H122 x W183 x D4cm","Brown",NA,NA,1
"GAR","SUN","416326","Forest Garden Fence Post 75mm x 75mm x 2.4m (8ft)Pk of 4","Forest Garden","H122 x W183 x D7.5cm","Brown",NA,NA,1
"GAR","SUN","416328","Forest Garden Fence Post 75mm x 75mm x 2.4m (8ft)Pk of 6","Forest Garden","H122 x W183 x D7.5cm","Brown",NA,NA,1
"GAR","SUN","416329","Forest Garden Fence Post 75mm x 75mm x 2.4m (8ft)Pk of 7","Forest Garden","H122 x W183 x D7.5cm","Brown",NA,NA,1
"GAR","SUN","436459","Forest Garden Lap Fence Panel 6ft x 3ft Pk of 10","Forest Garden","4.8cm x 91.7cm x 182.8cm",NA,NA,NA,0.9125
"GAR","SUN","436461","Forest Garden Lap Fence Panel 6ft x 3ft Pk of 7","Forest Garden","4.8cm x 91.7cm x 182.8cm",NA,NA,NA,0.9125
"GAR","SUN","436464","Forest Garden Lap Fence Panel 6ft x 4ft Pk of 7","Forest Garden","4.8cm x 122.2cm x 182.8cm",NA,NA,NA,0.9125
"GAR","SUN","436467","Forest Garden Lap Fence Panel 6ft x 5ft Pk of 10","Forest Garden","4.8cm x 152.7cm x 182.8cm",NA,NA,NA,0.9125
"GAR","SUN","436469","Forest Garden Lap Fence Panel 6ft x 5ft Pk of 7","Forest Garden","4.8cm x 152.7cm x 182.8cm",NA,NA,NA,0.9125
"GAR","SUN","436472","Forest Garden Close Board Fence Panel 3ft Pk of 10","Forest Garden","4.8cm x 182.8cm x 91.7cm",NA,NA,NA,0.9125
"GAR","SUN","436473","Forest Garden Close Board Fence Panel 3ft Pk of 7","Forest Garden","4.8cm x 182.8cm x 91.7cm",NA,NA,NA,0.9125
"GAR","SUN","436476","Forest Garden Close Board Fence Panel 4ft Pk of 10","Forest Garden","4.8cm x 182.8cm x 91.7cm",NA,NA,NA,0.9125
"GAR","SUN","436477","Forest Garden Close Board Fence Panel 4ft Pk of 7","Forest Garden","4.8cm x 182.8cm x 91.7cm",NA,NA,NA,0.9125
"GAR","SUN","436480","Forest Green Close Board Fence Panel 5ft Pack of10","Forest Garden","4.8cm x 182.8cm x 91.7cm",NA,NA,NA,0.8625
"GAR","SUN","436481","Forest Garden Close Board Fence Panel 6ft Pk of 7","Forest Garden","4.8cm x 182.8cm x 91.7cm",NA,NA,NA,0.9125
"GAR","SUN","436490","Forest Garden Wooden Cambridge Planter 1.5m x 50cm","Forest Garden","8.9cm x 9.8cm x 1.5cm",NA,NA,"No",0.93
"GAR","SUN","436492","Forest Garden Caledonian Corner Planter 1.3m","Forest Garden","19.3cm x 0.3cm x 1.3cm",NA,NA,"Yes",0.93
"GAR","SUN","436493","Forest Garden Caledonian Tiered Raised Bed","Forest Garden","0.9cm x 0.9cm x 0.6cm",NA,NA,"Yes",0.93
"GAR","SUN","436494","Forest Garden Deep Root Planter 1.8m","Forest Garden","0.2cm x 79.8cm x 1.8cm",NA,NA,"Yes",0.93
"GAR","SUN","436505","Forest Garden Raised Log Garden Planter","Forest Garden","6.7cm x 0.1cm x 0.4cm",NA,NA,"Yes",0.93
"GAR","SUN","436506","Forest Garden Rectangular Sleeper Raised Bed","Forest Garden","0.3cm x 0.4cm x 1.2cm",NA,NA,"Yes",0.93
"GAR","SUN","436510","Forest Garden Victorian Wall Green House","Forest Garden","H 198.2cm x W 146.7cm x D 74.0cm",NA,"Softwood","Yes",1
"GAR","SUN","436514","Forest Garden Bi-Fold Roof Bin Store","Forest Garden","92cm x 146cm x 121.5cm",NA,"Softwood","Yes",0.941666666666667
"GAR","SUN","436517","Forest Garden Pinnacle Log Store","Forest Garden","64.8cm x 149.4cm x 149.4cm",NA,"Softwood","Yes",0.941666666666667
"GAR","SUN","436523","Forest Garden Lap Fence Panel 6ft x 4ft Pk of 10","Forest Garden","4.8cm x 122.2cm x 182.8cm",NA,NA,NA,0.9125
"GAR","SUN","436525","Forest Garden Lap Fence Panel 6ft x 6ft Pk of 7","Forest Garden","4.4cm x 182.8cm x 182.8cm",NA,NA,NA,0.9125
"GAR","SUN","436528","Forest Garden Lap Fence Panel 6ft x 6ft Pk of 10","Forest Garden","4.4cm x 182.8cm x 182.8cm",NA,NA,NA,0.9125
"GAR","SUN","436530","Forest Garden Close Board Fence Panel 6ft Pk of 7","Forest Garden","5cm x 182.8cm x 182.8cm",NA,NA,NA,0.9125
"GAR","SUN","436550","Forest Garden Overlap Garden Wall Store","Forest Garden","149.4cm x 111.8cm x 64.9cm",NA,"Softwood","Yes",0.941666666666667
"GAR","SUN","436551","Forest Garden Storage Garden Chest","Forest Garden","93.9cm x 126cm x 93.9cm",NA,"Softwood","Yes",0.941666666666667
