"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","Assembly","DQ Score"
"SBK","COM","413883","Groov-e Bumper Case for Phone 6","Groove","1","No",0.6
"SBK","COM","413885","Groov-e Bumper Case for Phone 6 Plus","Groove","1","No",0.6
