"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Material","Assembly","Power","Age","DQ Score"
"TOY","PRE","301198","Vtech Baby Tiny Tot Driver","Vtech","Multi","1",NA,NA,NA,"12 Months +",0.941666666666667
"TOY","PRE","330600","Vtech Baby Toot Toot Drivers Deluxe Track Set","Vtech","Multi","1",NA,NA,"3x AAA Batteries Included","5 Years +",1
"TOY","PRE","419721","Vtech Baby Little Friendlies Sing AlongSpinning Wheel","Vtech","Multi","1",NA,NA,"2x AAA Batteries Included","6 Years +",1
"TOY","PRE","419727","Vtech Baby My 1st Key Rattle","Vtech","Multi","1",NA,NA,NA,"From Birth",0.941666666666667
"TOY","PRE","428481","Vtech Sort And Discover Drum","Vtech","Multi","1",NA,NA,"2x AAA Batteries Included","12 Months +",1
"TOY","PRE","438491","Vtech Sit and Discover Ride On","Vtech","Multi","1",NA,NA,"2x AA Batteries Included","2 Years +",1
"TOY","PRE","438492","Vtech Train and Track Set","Vtech","Multi","1","Plastic","No","3x AAA Batteries Included","12 Months +",0.65
"TOY","PRE","438840","Vtech Toot Toot Friends Kingdom Fairy","Vtech","Multi","1",NA,NA,"2x AAA Batteries Included","12 Months +",1
"TOY","PRE","438845","Vtech Babys Laptop","Vtech","Multi","1",NA,NA,"2x AA Batteries Included","2 Years +",1
"TOY","PRE","438846","Vtech Push and Play Spinning Top","Vtech","Multi","1",NA,NA,"2x AA Batteries Included","18 Months +",1
"TOY","PRE","438847","Vtech Cosy Kitten Carrier","Vtech","Multi","1",NA,NA,"2x AAA Batteries Included","18 Months +",1
"TOY","PRE","438849","Vtech Swim and Splash Dolphin","Vtech","Multi","1",NA,NA,NA,"6 Months +",0.941666666666667
"TOY","PRE","438852","Vtech Teletubbies Time To Rhyme Book","Vtech","Multi","1",NA,NA,"2x AAA Batteries Included","9 Months +",1
"TOY","PRE","438854","Vtech Paw Patrol Treat Time Marshall","Vtech","Multi","1",NA,NA,NA,"18 Months +",0.941666666666667
"TOY","PRE","438855","Vtech Paw Patrol Pups To The Rescue","Vtech","Multi","1",NA,NA,NA,"12 Months +",0.941666666666667
"TOY","PRE","448319","Vtech Peek and Play Phone","Vtech","Multi","1",NA,NA,NA,"18 Months +",0.941666666666667
"TOY","PRE","448320","Vtech Little Singing Puppy","Vtech","Multi","1",NA,NA,NA,"18 Months +",0.941666666666667
"TOY","PRE","448321","Vtech Little Friendlies Hippo Teether","Vtech","Multi","1",NA,NA,NA,"6 Months +",0.941666666666667
"TOY","PRE","448323","Vtech Toot Toot Driver Fire Engine Book","Vtech","Multi","1",NA,NA,NA,"12 Months +",0.941666666666667
"TOY","PRE","448324","Vtech Toot Toot Driver Drive and Discover Police Car","Vtech","Multi","1",NA,NA,NA,"6 Months +",0.941666666666667
"TOY","PRE","448326","Vtech Sing Along Microphone","Vtech","Multi","1",NA,NA,NA,"12 Months +",0.941666666666667
"TOY","PRE","448328","Vtech Splash and Swim Penguin","Vtech","Multi","1",NA,NA,NA,"12 Months +",0.941666666666667
"TOY","PRE","448329","Vtech Stack Sort and Store Tree","Vtech","Multi","1",NA,NA,NA,"9 Months +",0.891666666666667
"TOY","PRE","448488","Vtech Crawl and Learn Bright Lights Ball","Vtech","Multi","1",NA,NA,NA,"6 Months +",0.941666666666667
"TOY","PRE","450516","Vtech Toot Toot Drivers Assortment","Vtech","Multi","1",NA,NA,"2x AAA Batteries Included","12 Months +",1
