"PSA_1","PSA_2","Article","Web Description","Brand","Size","DQ Score"
"CLE","SUR","428731","Stardrops Pine Scented Disinfectant 750ml","Stardrops","750ml",0.825
"CLE","SUR","80402","Stardrops All Purpose Cleaner 750ml","Stardrops","600ml",0.9125
