"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Assembly","DQ Score"
"GAR","PCL","333052","ELHO Pure Planter Round High Anthracite 35cm","Elho International","35cm","Black","No",0.95
"GAR","PCL","333054","ELHO Pure Planter Round High Anthracite 45cm","Elho International","45cm","Black","No",0.95
