"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Capacity","DQ Score"
"PET","100","313747","Marina i25 Internal Filter","Marina",NA,NA,"1",NA,NA,NA,0.86
"PET","100","313749","Marina i25 3 in 1 Power Cartridge 2pk","Marina",NA,NA,"2pk",NA,NA,NA,0.86
"PET","100","313844","Marina Multi Aquarium Gravel Washer","Marina",NA,NA,"1",NA,NA,NA,0.86
"PET","100","313846","Marina Aquarium Glass Cleaning Kit","Marina",NA,NA,"1",NA,NA,NA,0.86
"PET","100","313853","Marina Aquarium Algae Magnet Cleaner","Marina",NA,NA,"1",NA,NA,NA,0.86
"PET","100","313855","Marina Easy Clean","Marina","10in, 25.5cm",NA,"1",NA,NA,NA,0.93
"PET","100","313863","Marina Air Pump up to 60L","Marina","60L",NA,"1",NA,NA,NA,0.93
"PET","100","313866","Marina Air Pump up to 100L","Marina",NA,NA,"1",NA,NA,NA,0.86
"PET","100","313891","Marina LCD Digital Aquarium Thermometer","Marina","17.8x0.6cm",NA,NA,NA,NA,NA,0.86
"PET","100","313946","Marina Polywool 40g","Marina","40g",NA,NA,NA,NA,NA,0.86
"PET","100","313983","Marina Aquarium Gravel Black 2kg","Marina","2kg","Black",NA,NA,NA,NA,0.883333333333333
"PET","100","313988","Marina Aquarium Gravel Rainbow 2kg","Marina","2kg","Multi",NA,NA,NA,NA,0.883333333333333
"PET","100","313990","Marina Aquarium Gravel Surf 2kg","Marina","2kg","Blue",NA,NA,NA,NA,0.883333333333333
"PET","100","314010","Marina Submersible Aquarium Heater 17w C17 up to 17L","Marina","17w",NA,"1",NA,NA,NA,0.93
"PET","100","314018","Marina Aquarium LED Light","Marina",NA,NA,NA,NA,NA,NA,0.79
"PET","100","314022","Marina Aquarium LED 3 Way Hub","Marina",NA,"Black",NA,NA,NA,NA,0.86
"PET","100","314026","Marina Micro LED Aquarium Light Green","Marina",NA,NA,"1",NA,NA,NA,0.86
"PET","100","314034","Marina Slim Filter Cartridge Bio-Carb 3pk","Marina",NA,NA,"3pk",NA,NA,NA,0.86
"PET","100","314846","Marina 100 Air Pump","Marina",NA,NA,"1",NA,NA,NA,0.86
"PET","100","334269","Marina Replacement Cartridge Filter 360 Degree Splash Carbon","Marina",NA,NA,"1",NA,NA,NA,0.86
"PET","100","334272","Marina Naturals Silk Plant Dracena Red/Green Large","Marina","Large","Red","1",NA,NA,NA,1
"PET","100","334280","Marina Aquarium Seahorse Fantasy Pink 14L","Marina","14L",NA,NA,NA,"Yes",NA,0.65
"PET","100","334281","Marina Aquarium Set Fin Sur Blue 14L","Marina","14L",NA,NA,NA,NA,NA,0.825
"PET","100","420146","Marina Premium 54 Aquarium Fish Tank Set Black","Marina",NA,"Black","1","Glass","No","54 litres",0.65
