"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Coverage","DQ Score"
"DEC","WAL","454111","Walltastic Sea Adventure Wallpaper Mural","Walltastic","8ft high x 10ft wide","Multi","1","Paper","7.3m²",0.95
"DEC","WAL","454112","Walltastic My First JCB Wallpaper Mural","Walltastic","8ft high x 10ft wide","Multi","1","Paper","7.3m²",0.95
"DEC","WAL","454113","Walltastic Avengers Assemble Wallpaper Mural","Walltastic","8ft high x 10ft wide","Multi","1","Paper","7.3m²",0.95
"DEC","WAL","454114","Walltastic Blaze and the Monster Machines Wallpaper Mural","Walltastic","8ft high x 10ft wide","Multi","1","Paper","7.3m²",0.95
"DEC","WAL","454115","Walltastic Disney Frozen Wallpaper Mural","Walltastic","8ft high x 6.5ft wide","Multi","1","Paper","4.8m²",0.95
"DEC","WAL","454116","Walltastic Paw Patrol Wallpaper Mural","Walltastic","8ft high x 6.5ft wide","Multi","1","Paper","4.8m²",0.95
"DEC","WAL","454118","Walltastic Paradise Beach Wallpaper Mural","Walltastic","8ft high x 10ft wide","Multi","1","Paper","7.3m²",0.95
"DEC","WAL","454121","Walltastic Avengers Assemble Room Decor Kit","Walltastic","Each sticker sheet measures 34cm x 46cm","Multi","6","Vinyl",NA,0.9
"DEC","WAL","454122","Walltastic Paw Patrol Room Decor Kit","Walltastic","Each sticker sheet measures 34cm x 46cm","Multi","6","Vinyl",NA,0.9
"DEC","WAL","454123","Walltastic My Little Pony Room Decor Kit","Walltastic","Each sticker sheet measures 34cm x 46cm","Multi","6","Vinyl",NA,0.9
"DEC","WAL","454124","Walltastic Shopkins Room Decor Kit","Walltastic","Each sticker sheet measures 34cm x 46cm","Multi","6","Vinyl",NA,0.9
"DEC","WAL","454125","Walltastic Blaze and the Monster Machines Room Decor Kit","Walltastic","Each sticker sheet measures 34cm x 46cm","Multi","6","Vinyl",NA,0.9
"DEC","WAL","ws00003","Walltastic Dinosaur Land 8ft x 10ft","Walltastic","8x10ft","Multi","1","Paper","7.43m²",0.95
"DEC","WAL","ws00007","Walltastic Jungle Adventure 8ft x 10ft","Walltastic","8x10ft","Multi","1","Paper","7.43m²",0.95
"DEC","WAL","ws00045","Walltastic Space Adventure 8ft x 10ft","Walltastic","8x10ft","Multi","1","Paper","7.43m²",0.95
"DEC","WAL","ws00051","Walltastic Dinosaur Land Decor Kit","Walltastic","Assorted","Multi","1","Plastic","7.43m²",0.95
