"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Power","DQ Score"
"DIY","MOT","336914","Ei Home Fire Extinguisher BC Powder Red 600g","Ei Electronics","600g","Red","1",NA,0.891666666666667
"DIY","SEC","162346","EI Carbon Monoxide Alarm Part Number 204EN","Ei Electronics",NA,NA,"1","Battery",0.88
"DIY","SEC","232730","EI Electronics Smoke Alarm with Escape Light","Ei Electronics",NA,NA,"1",NA,0.81
"DIY","SEC","276217","EI Electronics Smoke Alarm Twin Pack","Ei Electronics",NA,NA,"2pk","Battery",0.93
"DIY","SEC","342843","EI Carbon Monoxide Memory Alarm","Ei Electronics",NA,NA,"1",NA,0.81
"DIY","SEC","61895","EI Electronics Standard Smoke Alarm","Ei Electronics",NA,NA,"1","Battery",0.93
