"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","DQ Score"
"DIY","SCR","435373","Screw Tite Screw Net Coat Yellow 3.5 x 16mm20pk","TITE","3.5 x 16mm","20",NA,1
"DIY","SCR","435374","Screw Tite Screw Net Coat Yellow 3.5 x 20mm20pk","TITE","3.5 x 20mm","20",NA,1
"DIY","SCR","435375","Screw Tite Screw Net Coat Yellow 3.5 x 25mm20pk","TITE","3.5 x 25mm","20",NA,1
"DIY","SCR","435376","Screw Tite Screw Net Coat Yellow 3.5 x 30mm20pk","TITE","3.5 x 30mm","20",NA,1
"DIY","SCR","435377","Screw Tite Screw Net Coat Yellow 3.5 x 40mm20pk","TITE","3.5 x 40mm","20",NA,1
"DIY","SCR","435378","Screw Tite Screw Net Coat Yellow 4.0 x 20mm20pk","TITE","4 x 20mm","20",NA,1
"DIY","SCR","435379","Screw Tite Screw Net Coat Yellow 4.0  x 25mm20pk","TITE","4 x 25mm","20",NA,1
"DIY","SCR","435380","Screw Tite Screw Net Coat Yellow 4.0  x 30mm15pk","TITE","4 x 30mm","15",NA,1
"DIY","SCR","435381","Screw Tite Screw Net Coat Yellow 4.0  x 35mm15pk","TITE","4 x 35mm","15",NA,1
"DIY","SCR","435382","Screw Tite Screw Net Coat Yellow 4.5 x 40mm10pk","TITE","4 x 40mm","10",NA,1
"DIY","SCR","435383","Screw Tite Screw Net Coat Yellow 4.5 x 30mm15pk","TITE","4.5 x 30mm","15",NA,1
"DIY","SCR","435384","Screw Tite Screw Net Coat Yellow 4.5 x 40mm15pk","TITE","4.5 x 40mm","15",NA,1
"DIY","SCR","435385","Screw Tite Screw Net Coat Yellow 5 x 60mm10pk","TITE","5 x 60mm","10",NA,1
"DIY","SCR","435386","Screw Tite Screw Net Coat Yellow 4.5 x 50mm12pk","TITE","4.5 x 50mm","12",NA,1
"DIY","SCR","435387","Screw Tite Screw Net Coat Yellow 4.5 x 50mm10pk","TITE","5 x 70mm","10",NA,0.95
"DIY","SCR","435388","MDF Tite Screw Net Coat Yellow 3.9 x 25mm20pk","TITE","3.9 x 25mm","20",NA,1
"DIY","SCR","435389","MDF Tite Screw Net Coat Yellow 3.9 x 30mm20pk","TITE","3.9 x 30mm","20",NA,1
"DIY","SCR","435390","MDF Tite Screw Net Coat Yellow 3.9 x 40mm20pk","TITE","3.9 x 40mm","20",NA,1
"DIY","SCR","435391","MDF Tite Screw Net Coat Yellow 3.9 x 45mm20pk","TITE","3.9 x 45mm","20",NA,1
"DIY","SCR","435392","Exterior Tite 4.0 x 25mm Black12pk","TITE","4 x 25mm","12",NA,1
"DIY","SCR","435393","Exterior Tite 4.0 x 30mm Black12pk","TITE","4 x 30mm","12",NA,1
"DIY","SCR","435394","Exterior Tite 4.0 x 40mm Black12pk","TITE","4 x 40mm","12",NA,1
"DIY","SCR","435395","Exterior Tite 4.0 x 50mm Black12pk","TITE","4 x 50mm","12",NA,1
"DIY","SCR","435396","Exterior Tite 4.0 x 40mm Silver Effect12pk","TITE","4 x 40mm","12",NA,1
"DIY","SCR","435397","Exterior Tite 4.5 x 50mm Silver Effect12pk","TITE","4.5 x 50mm","12pk",NA,1
"DIY","SCR","435398","Hinge Tite 4.0 x 25mm Brass Effect12pk","TITE","4 x 25mm","12",NA,1
"DIY","SCR","435399","Hinge Tite 4.0 x 30mm Brass Effect12pk","TITE","4 x 30mm","12",NA,1
"DIY","SCR","435400","Hinge Tite 4.0 x 25mm Chrome12pk","TITE","4 x 25mm","12",NA,1
"DIY","SCR","435401","Hinge Tite 4.0 x 30mm Chrome12pk","TITE","4 x 30mm","12",NA,1
"DIY","SCR","435402","Screw Tite Wall Fixings 4.0 x 40mm10pk","TITE","4 x 40mm","10","Steel and Plastic",0.941666666666667
"DIY","SCR","435403","Screw Tite Cavity Fixings 4.0 x 40mm10pk","TITE","4 x 40mm","10","Steel and Plastic",0.941666666666667
"DIY","SCR","435404","Exterior Tite Wall Fixing 4.0 x 40mm10pk","TITE","4 x 40mm","10","Steel and Plastic",0.941666666666667
"DIY","SCR","435405","Floor Tite 4. 2 x 55mm100pk","TITE","4.2 x 55mm","100",NA,1
"DIY","SCR","435406","Deck Tite 4. 5 x 63mm100pk","TITE","4.5 x 63mm","100",NA,1
