"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Age","DQ Score"
"DIY","CYC","445365","Vitesse Swift 21 Speed Road Bike White, 22"" Wheel","Vittesse","130cm x 20cm x 76xm","White","12 Years +",0.95
"DIY","CYC","445366","Vitesse Rapid Alloy Road Bike 22in Frame 700c Wheel","Vittesse","130cm x 20cm x 76xm","Blue","12 Years +",0.95
"DIY","CYC","445367","Vitesse Rush Alloy Road Bike 22in Frame 700c Wheel","Vittesse","130cm x 20cm x 76xm","Red","12 Years +",0.95
