"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","DQ Score"
"TOI","MED","280489","Clearblue Pregnancy Test Digital 1 Test","Clearblue","1",0.9125
"TOI","MED","302375","Clearblue Ovulation Digital 10pk","Clearblue","7pk",0.9125
"TOI","MED","342020","Clearblue Pregnancy Test Visual 1pk","Clearblue","1",0.9125
