"PSA_1","PSA_2","Article","Web Description","Brand","Size","DQ Score"
"TOI","MED","216513","Deep Freeze Spray 150ml","Deep Freeze","150ml",0.9125
"TOI","MED","231497","Deep Freeze Cold Gel 35g","Deep Freeze","35g",0.9125
