"PSA_1","PSA_2","Article","Web Description","Brand","Size","DQ Score"
"CLE","FUR","1141040","Brasso Metal Polish 75g","Brasso","75g",0.9125
"CLE","FUR","42549","Brasso Metal Polish 175ml","Brasso","175ml",0.9125
