"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Washable","Age","DQ Score"
"TOY","PLU","337578","TY Beanie Boo Assortment","TY","Multi","1",NA,"From Birth",0.9
"TOY","PLU","401480","Ty Large Boo Assortment 1","TY","Multi","1",NA,"From Birth",0.9
"TOY","PLU","401481","Ty Large Boo Assortment 2","TY","Multi","1",NA,"From Birth",0.9
"TOY","PLU","403163","TY Beanie Boo Key Chain Assortment","TY","Multi","1",NA,"3 Years +",0.9
"TOY","PLU","419674","TY Beanie Buddies Assortment","TY","Multi","1","Hand Wash Only","From Birth",0.95
"TOY","PLU","439905","Ty Beanie Babies Assortment","TY","Multi","1","Hand Wash Only","From Birth",0.95
"TOY","PLU","439915","Ty Teeny TYs Assorted","TY","Multi","1",NA,"From Birth",0.9
