"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","DQ Score"
"TOI","SUN","450600","Riemann P20 SPF Once a Day Sun ProtectionSpray 30 SPF 100ml","Rieman P20","1",0.8625
"TOI","SUN","450601","Riemann P20 Once a Day Sun Protection SpraySPF 50 100ml","Rieman P20","1",0.8625
