"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","DQ Score"
"HOU","SCO","283974","No More Chemicals Window Cloth","No More Chemicals","Yellow","1",0.93
"HOU","SCO","283975","No More Chemicals Bathroom Cloth Blue","No More Chemicals","Blue","1pcs",0.93
