"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","Assembly","DQ Score"
"FOO","CHO","417044","Loadsa Sweets Plus 40 Percent","Swizzels",NA,"1",NA,NA,0.81
"FOO","CHO","417046","Loadsa Lollies Plus 40 Percent","Swizzels",NA,"1",NA,NA,0.81
"FOO","KID","295008","Swizzels Giant Parma Violets","Swizzels",NA,"1",NA,NA,0.9125
"FOO","SXM","309913","Swizzels Matlow Drumsticks Tube 108g","Swizzels","108g","1",NA,"No",0.65
"FOO","SXM","309914","Swizzels Love Hearts Gift Tube 108g","Swizzels","108g","1",NA,"No",0.65
"FOO","SXM","337861","Swizzles Matlow Parma Violet Tube 108g","Swizzels","108g","1",NA,"No",0.6
"FOO","SXM","337862","Swizzels Matlow Sweet Extravaganza Tube 324g","Swizzels","324g","1",NA,"No",0.65
"FOO","SXM","423734","Love Hearts Piggy Bank Large","Swizzels","10*14*12","1","Ceramic","No",0.6
"FOO","SXM","423736","Mini Love Heart Piggy Bank","Swizzels","9*6*8","1","Ceramic","No",0.6
"FOO","SXM","441953","Anthon Berg 4 Piece Chocolate Liqueurs 62g","Swizzels",NA,"1",NA,"No",0.6
"FOO","SXM","441955","Anthon Berg 4 Piece Cocktail Liqueurs","Swizzels",NA,"1",NA,"No",0.6
"FOO","SXM","441987","Drumstick Squashies Carton 350g","Swizzels",NA,"1",NA,"No",0.6
