"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Age","DQ Score"
"DIY","BIK","409176","Sonic Bulk Bike Pink 20in Wheels","Sonic","20in","Pink","7-15 Years",1
"DIY","CYC","445310","Sonic Daisy Bike White/Pink, 12"" Wheel","Sonic","67cm x 15cm x 36cm","Pink","2 - 4 Years",1
"DIY","CYC","445312","Sonic Buzz Bike Spoked Wheels, 12"" Wheel","Sonic","67cm x 15cm x 36cm","Black","2 - 4 Years",1
"DIY","CYC","445316","Sonic Glamour Bike, 16"" Wheel","Sonic","98cm x 16cm x 55cm","Purple","6 - 8 Years",1
"DIY","MOT","ml00204","M/L Sonic Glamour 16in Girls Bike Purple","Sonic","16in","Purple","5-7 years",1
"DIY","MOT","ml00261","Moore Large Sonic Daisy Girls Bike Pink","Sonic","12in","Pink","3.5-5 years",1
