"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Model Number","DQ Score"
"KIT","ELE","439555","Tower Kettle Polished Stainless Steel 1.7L T10002P","Tower","1.7l","Metal",NA,NA,NA,"2200w",NA,"T10002P",1
"KIT","ELE","439556","Kettle 1.5L T10003","Tower","1.5l","Black",NA,NA,NA,"2200w",NA,"T10003",0.95
"KIT","ELE","439558","Tower Gluten Free Digital Bread Maker T11002","Tower",NA,"Black",NA,NA,NA,NA,NA,"T11002",0.883333333333333
"KIT","ELE","439562","Tower Stainless Steel Glass Blender 500W T12008","Tower",NA,"Metal",NA,NA,NA,"500w",NA,"T12008",0.9
"KIT","ELE","439563","Tower Spice Grinder Chopper T12009","Tower","550ml","Black",NA,NA,NA,NA,"550ml","T12009",0.95
"KIT","ELE","439564","Tower 2in1 Masher and Blender T12015","Tower",NA,"Black",NA,NA,NA,"400w",NA,"T12015",0.9
"KIT","ELE","439565","Tower Stainless Steel Hand Mixer 300W T12016","Tower",NA,"Metal",NA,NA,NA,"300W",NA,"T12016",0.9
"KIT","ELE","439567","Tower Vitablend Pro Red T12020R","Tower",NA,"Red",NA,NA,NA,"1200w",NA,"T12020R",0.9
"KIT","ELE","439569","Tower 8in1 Multi Cooker T14003","Tower",NA,"Black",NA,NA,NA,"1300w",NA,"T14003",0.941666666666667
"KIT","ELE","439572","Tower Mini Oven 23L T14012","Tower","23L","Black",NA,NA,NA,"1500w",NA,"T14012",1
"KIT","ELE","439574","Tower Cerastone Ceramic Raclette T14016","Tower",NA,"Grey",NA,NA,NA,NA,NA,"T14016",0.883333333333333
"KIT","ELE","439576","Tower Pressure Cooker 5L T16001","Tower","5L","Metal",NA,NA,NA,"900w",NA,"T16004",1
"KIT","ELE","439577","Digital Pressure Cooker 6L T16005","Tower","5L","Metal",NA,NA,NA,"1100w",NA,"T16005",0.95
"KIT","ELE","439580","Digital Smoker 6L T16008","Tower","6L","Metal",NA,NA,NA,"1000w",NA,"T16008",0.95
"KIT","ELE","439581","Tower Easy Clean Deep Fryer 3L T17002","Tower","3L",NA,NA,NA,NA,NA,NA,"T17002",0.93
"KIT","ELE","439584","Tower 2in1 Food Processor T18002","Tower",NA,"Grey",NA,NA,NA,"500w",NA,"T18002",0.9
"KIT","ELE","439587","Tower 2 Slice Toaster T20004","Tower","2 Slice","Metal",NA,NA,NA,NA,NA,"T20004",0.941666666666667
"KIT","ELE","439588","Manual Microwave 800W T24001","Tower",NA,"Silver",NA,NA,NA,"800W",NA,"T24001",0.891666666666667
"KIT","ELE","439589","Tower 3in1 Sandwich Toaster T27008","Tower",NA,"Grey",NA,NA,NA,"750w",NA,"T27008",0.941666666666667
"KIT","ELE","439590","Ceramic Health Grill & Griddle T27009","Tower",NA,"White",NA,NA,NA,"1000w",NA,"T27009",0.891666666666667
"KIT","ELE","439591","Tower 4 Slice Stainless Steel Sandwich MakerT27010","Tower","4 Slice","Metal",NA,NA,NA,NA,NA,"T27010",0.941666666666667
"KIT","ELE","448397","Tower 3 Tier Electric Steamer 5L T21001","Tower","3 Tier","Black",NA,NA,NA,NA,NA,"T21001",0.941666666666667
"KIT","ELE","448405","Tower Linear Kettle Stainless Steel 1.7L T10009","Tower","1.7L","Metal",NA,NA,NA,"3000W",NA,"T10009",1
"KIT","ELE","448406","Tower 1.7L Jug Kettle T10011","Tower","1.7L","Black",NA,NA,NA,"2200W",NA,"T10011",1
"KIT","ELE","448407","Tower GlutenFree Digital Bread Maker T11001","Tower","1L","Black",NA,NA,NA,"650W",NA,"T11001",1
"KIT","ELE","448412","Tower Stick Blender 300W","Tower",NA,"Black",NA,NA,NA,"300w",NA,"T12014",0.9
"KIT","ELE","448413","Tower 1.7L Glass Soup Maker T12019","Tower","1.7L","Black",NA,NA,NA,"800W","1.7","T12019",1
"KIT","ELE","448414","Tower Xtreme Pro T12020C","Tower","1000W","Cream",NA,NA,NA,"1200W",NA,"T12020C",0.95
"KIT","ELE","448415","Tower Xtreme Pro T12020GM","Tower","1200W","Grey",NA,NA,NA,"1200W",NA,"T12020GM",0.9
"KIT","ELE","448422","Tower Reversible Health Grill and Oven T14009","Tower","2000W","Black",NA,NA,NA,"2000W",NA,"T14009",0.95
"KIT","ELE","448425","Tower Cerastone Reversible Grill T14019","Tower",NA,"Black",NA,NA,NA,"1600W",NA,"T14019",0.891666666666667
"KIT","ELE","448431","Tower Deep Fryer 2L T17001","Tower","2L",NA,NA,NA,NA,"2L",NA,"T17001",1
"KIT","ELE","448433","Tower Air Fryer 3.2L T17005","Tower",NA,NA,NA,NA,NA,"1350W",NA,"T17005",0.93
"KIT","ELE","448438","Tower Stainless Steel Meat Grinder T19005","Tower",NA,"Black",NA,NA,NA,"500W",NA,"T19005",0.9
"KIT","ELE","448440","Tower Electric Knife Sharpener T19008","Tower",NA,"Black","1",NA,NA,"60W",NA,NA,0.941666666666667
"KIT","ELE","448441","Tower Egg Cooker and Poacher T19010","Tower",NA,"Black",NA,NA,NA,"360W",NA,"T19010",0.941666666666667
"KIT","ELE","448443","Tower Hand Mixer 200W T19012","Tower","200W","Black",NA,NA,NA,"200W",NA,"T19012",0.95
"KIT","ELE","448444","Tower Electric Spiralizer T19014","Tower",NA,"Green",NA,NA,NA,"100W",NA,"T19014",0.9
"KIT","ELE","448445","Tower 2 Slice Linear Toaster T20007","Tower",NA,"Black",NA,NA,NA,NA,NA,"T20007",0.883333333333333
"KIT","ELE","448446","Tower 4 Slice Linear Toaster T20008","Tower",NA,"Black",NA,NA,NA,"1600W",NA,"T20008",0.941666666666667
"KIT","ELE","448452","Tower Digital Microwave 800W T24007","Tower",NA,"Black",NA,NA,NA,"800W",NA,"T24007",0.941666666666667
"KIT","ELE","448453","Tower Digital Microwave Black 800W T24008","Tower",NA,"Black",NA,NA,NA,"800W",NA,"T24008",0.941666666666667
"KIT","ELE","448454","Tower 800W Microwave T24009","Tower",NA,"Black","1","Aluminium","No","800W",NA,"T24009",0.65
"KIT","ELE","448457","Tower 23L 900W Microwave T24011","Tower",NA,"Black",NA,NA,NA,"900W",NA,"T24011",0.941666666666667
"KIT","ELE","448458","Tower Digital Panini Grill T27007","Tower",NA,"Silver",NA,NA,NA,"1800W",NA,"T27007",0.941666666666667
"KIT","ELE","448459","Tower Health Grill T27011","Tower",NA,"Silver",NA,NA,NA,"2000W",NA,"T27011",0.941666666666667
"KIT","ELE","448460","Tower Deep Fill Sandwich Maker T27013","Tower",NA,"Black","1","Cerastone ceramic plates","No","900W",NA,"T27013",0.65
"KIT","GAD","444785","Tower Spudnik Spiralizer","Tower","15.5 X 20.5 X 25.5cm","Green","1",NA,NA,NA,NA,NA,0.941666666666667
