"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Age","DQ Score"
"SBK","PAR","318330","Snazaroo Face Painting Kit","Snazaroo","Multi","1","36 Months",1
"SBK","PAR","334358","Snazaroo Face Painting Sticks","Snazaroo",NA,"1",NA,0.825
