"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Age","Model Number","DQ Score"
"DIY","CYC","435205","Peppa Pig Drinking  Bottle 200ml","Peppa Pig","200ml","Pink",NA,NA,NA,NA,"3+",NA,1
"DIY","CYC","435209","Peppa Pig Safety Cycle Helmet","Peppa Pig","To fit head size 48-52cm","Pink","1",NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","435217","Peppa Pig Bicycle Mitts","Peppa Pig","9 x 12cm","Yellow","1","woven","No","Hand Wash Only","3+","M13043",0.65
"TOI","MED","453092","Peppa Pig Forehead Thermometer","Peppa Pig",NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"TOY","GAM","446703","Peppa Pig 4 in 1 Shaped Puzzle","Peppa Pig",NA,"Multi","1",NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","PRE","330555","Peppa Pig Music Set","Peppa Pig",NA,"Multi","1",NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","PRE","337556","TY Peppa Pig Key Chain Assortment","Peppa Pig",NA,"Multi","1",NA,NA,NA,"From Birth",NA,0.9
"TOY","PRE","440514","Peppa Pig Weebles Figures Assortment","Peppa Pig",NA,"Multi","1",NA,NA,NA,"18 Months +",NA,0.941666666666667
"TOY","PRE","440515","Peppa Pig Vehicle Assortment","Peppa Pig",NA,"Multi","1",NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","PRE","440518","Peppa Pig Magna Doodle","Peppa Pig",NA,"Multi","1",NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","PRE","451208","Peppa Pig Mini Buggies Assortment","Peppa Pig",NA,"Multi","1",NA,NA,NA,"2 Years +",NA,0.941666666666667
