"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Material","DQ Score"
"DIY","FIX","456392","Cobra WallBiter Picture Hooks Brass Effect 4pk","Cobra","Metal","4","Steel",0.941666666666667
"DIY","FIX","456393","Cobra WallBiter Picture Hooks Chrome Effect 4pk","Cobra","Metal","4","Steel",0.941666666666667
"DIY","FIX","456395","Cobra WallDriller Picture Hooks Brass Effect 2pk","Cobra","Metal","2","Steel",0.941666666666667
"DIY","FIX","456512","Cobra WallDriller Picture Hooks White 2pk","Cobra","White","2","Steel/Nylon",0.941666666666667
