"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Age","DQ Score"
"TOY","FAN","440594","Trolls Small Blind Bag","Trolls","Multi","1","5 Years +",0.85
"TOY","POC","457314","Trolls Shimmering Lip Gloss Assorted","Trolls","Multi","1","6+",0.9
