"PSA_1","PSA_2","Article","Web Description","Brand","Size","DQ Score"
"PET","100","303733","Rooster Booster 125g","Battle","125g",0.8625
"PET","100","303735","Battle Poultry Stockholm Tar 400g","Battle","400g",0.9125
"PET","100","303736","Battle Poultry Drink 250ml","Battle","250ml",0.9125
"PET","100","303739","Battle Poultry Red Mite Powder 500g","Battle","500g",0.9125
"PET","100","303803","Battle Poultry Disinfectant Cleaner 1L","Battle","1L",0.9125
