"PSA_1","PSA_2","Article","Web Description","Brand","Size","Material","Assembly","DQ Score"
"SES","GFN","456323","Zest 4 Leisure Dorset Arbour Seat and StorageBox Wooden","Zest 4 Leisure","1.568m x 0.670m x 1.995m","Wood","Yes",0.941666666666667
"SES","GFN","456324","Zest 4 Leisure Rutland Arbour Seat Wooden","Zest 4 Leisure","1.568m x 0.670m x 1.995m","Wood","Yes",0.941666666666667
"SES","GFN","456325","Zest 4 Leisure Abbey Garden Bench","Zest 4 Leisure","1.18m x 0.73m x 0.73m","Wood","Yes",0.941666666666667
"SES","GFN","456326","Zest 4 Leisure Abbey Rocking Chair WoodenFSC Certified Timber","Zest 4 Leisure","0.68m x 0.89m x 0.73m","Wood","Yes",0.941666666666667
"SES","GFN","456327","Zest 4 Leisure Abbey Square Table and 4 Chair SetFSC Certified Timber","Zest 4 Leisure","2.56m x 2.56m x 0.73m","Wood","Yes",0.941666666666667
"SES","GFN","456328","Zest 4 Leisure Abbey Round Table and 4 Chair SetFSC Certified Timber","Zest 4 Leisure","2.36m x 2.36m x 0.73m","Wood","Yes",0.941666666666667
"SES","GFN","456329","Zest 4 Leisure Abbey Companion Set Wooden","Zest 4 Leisure","1.75m x 0.89m x 0.73m","Pressure-treated, FSC-certified timber","Yes",0.941666666666667
"SES","GFN","456330","Zest 4 Leisure Lily Wooden Garden Bench","Zest 4 Leisure","1.22m x 0.93m x 0.92m","Wood","Yes",0.941666666666667
"SES","GFN","456331","Zest 4 Leisure Lily Rocking Chair","Zest 4 Leisure","0.72m x 1.14m x 0.99m","Wood","Yes",0.941666666666667
"SES","GFN","456332","Zest 4 Leisure Lily Relax Garden Chair","Zest 4 Leisure","0.72m x 0.92m x 0.92m","Wood","Yes",0.941666666666667
