"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Coverage","DQ Score"
"PAI","EXT","428301","Sandtex Ultra Smooth Masonry PaintCornish Cream 2.5L","Sandtex","2.5L","Cream","1","Masonry",1
"PAI","EXT","428302","Sandtex Ultra Smooth Masonry PaintMagnolia 2.5L","Sandtex","2.5L","Cream","1","Masonry",1
"PAI","EXT","428303","Sandtex Ultra Smooth Masonry PaintPure Brilliant White 2.5L","Sandtex","2.5L","White","1","Masonry",1
"PAI","EXT","428304","Sandtex Ultra Smooth Masonry PaintChalk Hill 5L","Sandtex","5L","Cream","1","Masonry",1
"PAI","EXT","428306","Sandtex Ultra Smooth Masonry PaintCountry Stone 5L","Sandtex","5L","Cream","1","Masonry",1
"PAI","EXT","428307","Sandtex Ultra Smooth Masonry PaintIvory Stone 5L","Sandtex","5L","Cream","1","Masonry",1
"PAI","EXT","428308","Sandtex Ultra Smooth Masonry PaintMagnolia 5L","Sandtex","5L","Cream","1","Masonry",1
"PAI","EXT","428309","Sandtex Ultra Smooth Masonry PaintMid Stone 5L","Sandtex","5L","Brown","1","Masonry",1
"PAI","EXT","428313","Sandtex 10 Year Primer and UndercoatPure Brilliant White 750ml","Sandtex","750ml","White","1","Wood and Metal",1
"PAI","EXT","428315","Sandtex 10 Year Exterior Satin PaintPure Brilliant White 750ml","Sandtex","750ml","White","1","Wood and Metal",1
"PAI","EXT","428316","Sandtex 10 Year Exterior Gloss PaintCharcoal Black 750ml","Sandtex","750ml","Black","1","Wood and Metal",1
"PAI","EXT","428317","Sandtex 10 Year Exterior Gloss PaintPure Brilliant White 750ml","Sandtex","750ml","White","1","Wood and Metal",1
"PAI","EXT","428318","Sandtex UPVC CleanerClear 500ml","Sandtex","500ml",NA,"1","PVCu",0.9
"PAI","EXT","428319","Sandtex UPVC RestorerClear 500ml","Sandtex","500ml",NA,"1","PVCu",0.9
"PAI","EXT","428332","Sandtex Ultra Smooth Masonry PaintCornish Cream 5L","Sandtex","5L","Cream","1","Masonry",1
"PAI","EXT","428333","Sandtex Ultra Smooth Masonry PaintPure Brilliant White 5L","Sandtex","5L","White","1","Masonry",1
