"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","DQ Score"
"DIY","ELE","454319","Thor Premium HDMI Cable 1.5m","Thor","1.5m","Black",0.883333333333333
"DIY","ELE","454320","Thor Premium Flat HDMI Cable 1.5m","Thor","1.5m","Black",0.883333333333333
