"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Model Number","DQ Score"
"KIT","ELE","406244","1.5 Litre S/S Slow Cooker SF17010N","Swan",NA,"Metal",NA,NA,NA,NA,NA,NA,"SF17010N",0.833333333333333
"KIT","ELE","444789","Swan Retro Mini Fridge Cream SRE10010CN","Swan","17L","Cream","1",NA,NA,NA,NA,NA,NA,1
"KIT","ELE","444790","Swan Retro Mini Fridge Green SRE10010GN","Swan","17L","Green","1",NA,NA,NA,NA,NA,NA,1
"KIT","ELE","448363","Swan Jug Kettle 1.7 L Copper SK23030COPN","Swan",NA,"Metal","1","Steel","No","Wipe Clean Only","3000W","1.7L","SK23030COPN",0.6
"KIT","ELE","448365","Swan Jug Kettle 1.7 L Black SK261050BN","Swan","1.7L","Black",NA,NA,NA,NA,"3000W",NA,"SK261050BN",0.95
"KIT","ELE","448366","Swan Jug Kettle 1.7 L Cream SK261050CN","Swan","1.7L","Cream",NA,NA,NA,NA,"3000W",NA,"SK261050CN",0.95
"KIT","ELE","448368","Swan Jug Kettle 1.7 L Red SK261050RN","Swan","1.7L","Red",NA,NA,NA,NA,"3000W",NA,"SK261050RN",0.95
"KIT","ELE","448371","Swan Microwave 20L Cream SM22030CN","Swan",NA,"Cream",NA,NA,NA,NA,"800W",NA,"SM22030CN",0.941666666666667
"KIT","ELE","448372","Swan Microwave 20L Green SM22030GN","Swan","20L","Green",NA,NA,NA,NA,"800W",NA,"SM22030GN",1
"KIT","ELE","448373","Swan Microwave 20L Red SM22030RN","Swan",NA,"Red",NA,NA,NA,NA,"800W",NA,"SM22030RN",0.941666666666667
"KIT","ELE","448377","Swan Vintage Stand Mixer Cream SP21010CN","Swan",NA,"Cream","1","Steel","No","Wipe Clean Only","1000W","4.5L","SP21010CN",0.6
"KIT","ELE","448378","Swan Vintage Stand Mixer Green","Swan",NA,"Green",NA,NA,NA,NA,"1000W","4.5L","SP21010GN",0.9
"KIT","ELE","448380","Swan Vintage Stand Mixer Red SP21010RN","Swan","4.5L","Blue",NA,NA,NA,NA,"600W","4.5L","SP21010RN",0.95
"KIT","ELE","448381","Swan Retro Stand Mixer Black SP25010BN","Swan","4.5L","Black",NA,NA,NA,NA,"600W","4.5L","SP25010BN",0.95
"KIT","ELE","448382","Swan Retro Stand Mixer Cream 600W","Swan","4.5L","Cream",NA,NA,NA,NA,"600W","4.5L","SP25010CN",0.95
"KIT","ELE","448383","Swan Retro Stand Mixer Green SP25010GN","Swan","4.5L","Green",NA,NA,NA,NA,"600W","4.5L","SP25010GN",0.95
"KIT","ELE","448385","Swan Copper Effect Toaster 2 SliceST14040COPN","Swan","2 Slice","Metal",NA,NA,NA,NA,"800W",NA,"ST14040COPN",0.95
"KIT","ELE","448387","Swan Retro 4-Slice Toaster Black 800W","Swan","4 Slice","Black",NA,NA,NA,NA,"800W",NA,"ST17010BN",0.95
"KIT","ELE","448390","Swan Retro 4 Slice Toaster Red ST17010RN","Swan",NA,"Red",NA,NA,NA,NA,"800W",NA,"ST17010RN",0.891666666666667
"KIT","ELE","448392","Swan  Retro 2-Slice Toaster Black ST17020BN","Swan","2 Slice","Black",NA,NA,NA,NA,"800W",NA,"ST17020BN",0.95
"KIT","ELE","448395","Swan Retro 2-Slice Toaster Red ST17020RN","Swan","2 Slice","Red",NA,NA,NA,NA,"800W",NA,"ST17020RN",0.95
"KIT","ELE","rx00007","Swan Fryer 3L Stainless Steel SD6040N","Swan","3L",NA,NA,NA,NA,NA,"3000W",NA,"SD6040N",0.95
"KIT","ELE","rx00021","Swan Compact Food Slicer SP10060N 150W White","Swan",NA,"White",NA,NA,NA,NA,"150W",NA,"SP10060N",0.85
"KIT","ELE","rx00059","Swan 2 Slice Toaster Black ST10020BLKN","Swan","2 Slice","Black",NA,NA,NA,NA,"1800W",NA,"ST10020BLKN",0.95
