"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","DQ Score"
"FOO","SXM","270918","Rowntrees Pick and Mix Tube 140g","Rowntrees","140g","1","No",0.65
"FOO","SXM","324629","Rowntrees Fruit Pastilles Tube 125g","Rowntrees","125g","1","No",0.65
