"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Capacity","Age","DQ Score"
"TOI","DEN","181476","Corsodyl Mouthwash Coolmint 300ml","Corsodyl","300ml","Multi","1","No",NA,NA,0.65
"TOI","DEN","181622","Corsodyl Mouthwash Mint 300ml","Corsodyl",NA,NA,"1","No",NA,NA,0.65
"TOI","DEN","321163","Corsodyl Mouthwash Daily Cool Mint500ml","Corsodyl","500ml","Multi","1","No",NA,"12 Years",0.65
"TOI","DEN","321166","Corsodyl Mouthwash Daily Fresh Mint500ml","Corsodyl","500ml","Multi",NA,"No",NA,NA,0.65
"TOI","DEN","321167","Corsodyl Mouthwash Alcohol Free  Mint 300ml","Corsodyl","300ml","Multi",NA,"No",NA,NA,0.65
"TOI","DEN","452973","Corsodyl Ultra Clean Toothpaste 75ml","Corsodyl",NA,NA,"1","No","75ml",NA,0.65
