"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Age","DQ Score"
"SBK","KFL","440096","Turtles Mini Erasers 12pk","Teenage Mutant Ninja Turtles","3 x 3.5cm","Green","12",NA,0.95
"SBK","KFL","440097","Turtles Pop Up Pencils 4pk","Teenage Mutant Ninja Turtles","20 x 20 x 0.6cm","Multi","4",NA,0.95
"SBK","KFL","440098","Turtles Pencils and Toppers 3pk","Teenage Mutant Ninja Turtles","21 x 1.3 x 1.3cm","Green","3",NA,0.95
"SBK","KFL","440099","Turtles A5 Hardback Spiral Notebook","Teenage Mutant Ninja Turtles","A5","Multi","1",NA,0.95
"SBK","KFL","440100","Turtles Stationery Set Ball Pen 5pcs","Teenage Mutant Ninja Turtles","Stationery Set","Multi","5",NA,0.95
"SBK","PAR","441445","Turtles Plates 8pk","Teenage Mutant Ninja Turtles",NA,"Multi","8",NA,0.833333333333333
"SBK","PAR","441446","Turtles Napkins 20pk","Teenage Mutant Ninja Turtles",NA,"Multi","20",NA,0.833333333333333
"SBK","PAR","441447","Turtles Tablecover","Teenage Mutant Ninja Turtles",NA,"Multi","1",NA,0.833333333333333
"SBK","PAR","441448","Turtles Lootbags","Teenage Mutant Ninja Turtles",NA,"Multi","6",NA,0.833333333333333
"SBK","PAR","441449","Turtles Cups 8pk","Teenage Mutant Ninja Turtles",NA,"Multi","8",NA,0.833333333333333
"SBK","PAR","441450","Turtles Party Invitations 6pk","Teenage Mutant Ninja Turtles",NA,"Multi","6",NA,0.833333333333333
"TOY","ACT","332872","Turtles Mix and Match Action Figures Assortment","Teenage Mutant Ninja Turtles",NA,"Multi","1","3 Years +",0.891666666666667
"TOY","ACT","428326","Turtles Half-Shell Heroes Figure 2pk Assortment","Teenage Mutant Ninja Turtles",NA,"Multi","2","3 Years +",0.891666666666667
