"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","Assembly","Capacity","DQ Score"
"DIY","MOT","310670","Castrol GTX Motor Oil 15W-40 Part Synthetic 1L","Castrol","1L","1","Oil","No","1L",0.65
"DIY","MOT","310671","Castrol GTX 15W-40 A3/B3 Part Synthetic 4L","Castrol","4L",NA,NA,"No",NA,0.65
"DIY","MOT","310674","Castrol Magnatec Motor Oil 5W-30 Fully Synthetic 1L","Castrol","1L",NA,"Oil","No","1L",0.65
"DIY","MOT","310676","Castrol Magnatec 5W-30 A3/B4 Fully Synthetic 1L","Castrol","1L",NA,NA,"No",NA,0.65
"DIY","MOT","310677","Castrol Magnatec 10W-40 A3/B4 Part Synthetic 1L","Castrol","1L",NA,NA,"No",NA,0.65
"DIY","MOT","345249","Castrol Power 1 2 Stroke Scooter Oil 1L","Castrol",NA,"1","2-Stroke Oil","No","1L",0.65
"DIY","MOT","345691","Castrol Magnatec Fully Synthetic Oil 5W30 1L","Castrol",NA,"1","Fully Synthetic Oil","No","1L",0.65
