"Article","Web Description","Brand","Type","Pack Qty","DQ Score"
"222915","Loctite Super Glue Water Resistant Brush On 5g","Loctite","Superglue",NA,0.883333333333333
"295291","Loctite Power Easy Gel 3g","Loctite","Superglue",NA,0.883333333333333
"74309","Loctite Super Glue 5g","Loctite","Superglue",NA,0.883333333333333
"74310","Loctite Super Glue Universal 3g","Loctite","Superglue",NA,0.883333333333333
"237184","Unibond No More Nails Strips Removable Interior and Exterior 10pk","Unibond","No More Nails",NA,0.883333333333333
"245982","Unibond No More Nails Original Adhesive 300ml","Unibond","No More Nails",NA,0.883333333333333
"245983","Unibond No More Nails Original Interior 200ml","Unibond","No More Nails",NA,0.883333333333333
"323466","Unibond Power Tape Extra Strong Silver 50mmx25m","Unibond","DIY Tape",NA,0.883333333333333
"209358","Wilko Glass Glue 3g","Wilko","Glass Glue",NA,0.883333333333333
"209359","Wilko Plastic Glue 20ml","Wilko","Plastic Glue",NA,0.883333333333333
"288947","Wilko Fabric Glue 20ml","Wilko","Fabric Glue",NA,0.883333333333333
"288948","Wilko Leather Glue 20ml","Wilko","Leather Glue",NA,0.883333333333333
"81176","Wilko Super Glue 3g","Wilko","Super Glue",NA,0.883333333333333
