"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"TOI","ACB","325531","Bathtime Buddies Soap Crayons","Bathtime Buddies","19.5CM","12.0CM","1.9CM","Water Toys",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","ACB","430347","Bathtime Buddies Alphabet Set","Bathtime Buddies","18.0CM","13.0CM","9.0CM","Water Toys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","ACB","325536","Disney Princess Bath and Shower Bubbles 400ml","Disney","21.1CM","7.5CM","4.7CM","Bubble Bath, Creams and Oils",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","ACB","441277","Marvel Avengers Superhero Body Wash 400ml","Disney","23.0CM","8.5CM","4.0CM","Bubble Bath, Creams and Oils",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"TOI","ACB","441278","Marvel Avengers Superhero 2in1 Shampoo andConditioner 400ml","Disney","23.0CM","8.5CM","4.0CM","Kids Shampoo and Conditioner",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","ACB","441744","Disney Frozen Detangling Hair Spritz 100ml","Disney","15.7CM","3.7CM","3.7CM","Kids Hair Treatments and Oils",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","ACB","441745","Disney Frozen Elsa Hair Brush","Disney","15.5CM","5.0CM","3.0CM","Combs & Brushes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","ACB","441747","Disney Pixar Finding Dory Bath and Shower Bubbles400ml","Disney","21.0CM","7.0CM","4.5CM","Bubble Bath, Creams and Oils",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","ACB","452979","Disney Frozen Bath and Shower Bubbles","Disney Frozen","21.0CM","7.0CM","4.5CM","Bubble Bath, Creams and Oils",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","ACB","452293","Marvel Spider-Man Bath and Shower Bubbles400ml","Marvel","21.0CM","9.0CM","4.0CM","Bubble Bath, Creams and Oils","Expanded Facecloth 28cm x 28cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"TOI","ACB","441275","Despicable Me Minion Made Bubble Bath 400ml","Minions","23.0CM","8.5CM","4.0CM","Bubble Bath, Creams and Oils",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"TOI","ACB","441276","Despicable Me Giggling Minion Hand Wash 250ml","Minions","15.5CM","6.0CM","7.5CM","Hand Wash",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"TOI","ACB","441253","Paw Patrol Bath and Shower Gel 400ml","Paw Patrol","22.0CM","9.0CM","4.0CM","Bubble Bath, Creams and Oils",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","ACB","452929","Paw Patrol Foam Soap 250ml","Paw Patrol","20.0CM","5.0CM","5.0CM","Shower Gel and Body Wash","250ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"TOI","ACB","430351","Shopkins Bath and Shower Bubbles 400ml","Shopkins","21.5CM","8.0CM","4.0CM","Bubble Bath, Creams and Oils",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","ACB","430352","Shopkins Magic Facecloth","Shopkins","6.0CM","6.0CM","2.0CM","Sponges, Loofahs and Flannels",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAB","271432","Bepanthen Nappy Care Ointment 100g","Bepanthen","18.9CM","5.5CM","4.2CM","Nappy Ointment","100g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
