"PSA_1","PSA_2","Article","Web Description","Brand","Type","Pack Qty","Size","Colour","Age","Washable","Power","Assembly","Model Number","Material","Capacity","DQ Score"
"TOI","COL","440552","Collection Solar Shine Gel Nail Colour BiaritzBlitz","Collection 2000","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COL","440553","Collection Solar Shine Gel Nail Colour JungleFever","Collection 2000","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COL","440554","Collection Deluxe Lip Lacquer Prom Queen","Collection 2000","Lip Gloss","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COL","440555","Collection Deluxe Lip Lacquer Show off","Collection 2000","Lip Gloss","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COL","440556","Deluxe Lip Lacquer Red Carpet","Collection 2000","Lip Gloss","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COL","440557","Collection Deluxe Lip Lacquer Raspberry Kisses","Collection 2000","Lip Gloss","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COL","440558","Collection Deluxe Lip Lacquer Dancing Queen","Collection 2000","Lip Gloss","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COL","440559","Collection Deluxe Lip Lacquer Sparkling Lights","Collection 2000","Lip Gloss","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COL","443824","Collection Primed & Ready Concealer Kit","Collection 2000","Concealer","1","14G",NA,NA,NA,NA,NA,NA,NA,NA,0.775
"TOI","COL","443825","Collection Invisible Setting Powder poweredby Witch","Collection 2000","Priming and Setting","1","15G",NA,NA,NA,NA,NA,NA,NA,NA,0.775
"TOI","COL","443826","Collection Illuminating Setting Powder","Collection 2000","Priming and Setting","1","15G",NA,NA,NA,NA,NA,NA,NA,NA,0.775
"TOI","COL","443827","Collection Velvet Kiss Lip Cream Cotton Candy","Collection 2000","Lip Gloss","1","5ml",NA,NA,NA,NA,NA,NA,NA,NA,0.775
"TOI","COL","443829","Collection Velvet Kiss Lip Cream Rosie","Collection 2000","Lip Gloss","1","5ml",NA,NA,NA,NA,NA,NA,NA,NA,0.775
"TOI","COL","443833","Collection Extreme Calligraphy Eyeliner Black","Collection 2000","Eye Liner","1","1.6ml",NA,NA,NA,NA,NA,NA,NA,NA,0.775
"TOI","COL","454009","Collection Volumax Maximum Volume Mascara andLengthening Lash Primer Ultra Black","Collection 2000","Mascara","1","12ml",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"TOI","COL","454010","Collection Volumax Maximum Volume Mascara andLengthening Lash Primer Black","Collection 2000","Mascara","1","12ml",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"TOI","COL","454011","Collection Volumax Maximum Volume Mascara andLiquid Eyeline Primer Ultra Black","Collection 2000","Mascara","1","10ml",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"TOI","COL","454012","Collection Volumax Maximum Volume  Mascara andLiquid Eyeline Primer Ultra Black Waterproof","Collection 2000","Mascara","1","10ml",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"TOI","COL","454297","Collection Volumax Maximum Volume Mascara andLengthing Lash Primer Ultra Black Waterproof","Collection 2000","Mascara","1","12ml",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"TOI","COS","340006","Essence Kajal Eyeliner Pencil Black 01","Essence","Eye Liner","1",NA,"Black",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","340007","Essence Kajal Eyeliner Pencil White 04","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340034","Essence Kajal Eyeliner Pencil Teddy 08","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340036","Essence Kajal Eyeliner Pencil Feel The Eclipse 21","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340040","Essence Long Lasting Eye Pencil Black Fever 01","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340044","Essence Long Lasting Eye Pencil Hot Chocolate 02","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340047","Essence Long Lasting EyePencil Cool Down 09","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340048","Essence Long Lasting Eye Pencil I Have A Green 12","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340051","Essence Long Lasting Eye Pencil Turqoise 17","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340053","Essence 2in1 Eyeliner Pen","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340055","Essence Blusher Brush","Essence","Face Brushes and Applicators","1",NA,"Multi",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","340056","Essence Powder Brush","Essence","Face Brushes and Applicators","1",NA,"Multi",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","340101","Essence Extra Long Lasting Eyeliner Pen Black 01","Essence","Eye Liner","1",NA,"Black",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","340102","Essence Super Fine Eyeliner Pen Black 01","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340104","Essence All Eyes On Me Multi Effect Mascara Black08","Essence","Mascara","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340107","Essence Beauty Secret Fancy Lashes 01","Essence","False Eyelashes","1",NA,"Black",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","340127","Essence Maximum Definition Mascara Black 01","Essence","Mascara","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340130","Essence All Eyes On Me Multi Effect MascaraSoft Black 01","Essence","Mascara","1",NA,"Black",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","340168","Essence French Manicure Tip Guides","Essence","Nail Care","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340169","Essence Quick Dry Top Coat","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340174","Essence French Click and Go Nails","Essence","Nail Care","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340203","Essence Liquid Ink Eyeliner Black","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340204","Essence Liquid Ink Eyeliner WaterproofBlack","Essence","Eye Liner","1",NA,"Black",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","340221","Essence Soft Touch Mousse Makeup Matte Sand 01","Essence","Liquid Foundation","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340222","Essence Soft Touch Mousse Makeup Matte Beige 02","Essence","Liquid Foundation","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340223","Essence Soft Touch Mousse Makeup Matte Honey 03","Essence","Liquid Foundation","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340224","Essence Soft Touch Mousse Makeup Matte Ivory 04","Essence","Liquid Foundation","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340245","Essence All About Matt Fixing Powder","Essence","Powder Foundation","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340290","Essence I Love Stage Eyeshadow Base","Essence","Eye Shadow","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340291","Essence I Love Extreme Volume Mascara Black 01","Essence","Mascara","1",NA,"Black",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","340292","Essence I Love Crazy Volume Mascara Black 01","Essence","Mascara","1",NA,"Black",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","340294","Essence Mattifying Compact Powder Perfect Beige 04","Essence","Powder Foundation","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340296","Essence Mattifying Compact Powder Soft Beige 02","Essence","Powder Foundation","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340298","Essence Mattifying Compact Powder Light Beige 10","Essence","Powder Foundation","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340299","Essence Mosaic Compact Powder 01","Essence","Powder Foundation","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340300","Essence Get Big Lashes Volume Boost Mascara Black","Essence","Mascara","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340301","Essence Get Big Lashes Volume Boost WaterproofMascara Black","Essence","Mascara","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340337","Essence Stay Natural Concealer Soft Beige 01","Essence","Concealer","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340338","Essence Stay Natural Concealer Soft Sand 02","Essence","Concealer","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340339","Essence Stay Natural Concealer Soft Nude 03","Essence","Concealer","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340344","Essence Nail White Pencil","Essence","Nail Care","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","340345","Essence French Manicure And Pedicure Tip Painter","Essence","Nail Care","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","349908","Essence Kajal Pencil Fell The Mari Time 25","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","349909","Essence Kajal Pencil Beach Bum 26","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","349929","Essence Eyeliner Pen Deep Black Waterproof 01","Essence","Eye Liner","1",NA,"Black",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","349961","Essence Mattifying Compact Powder Pastel Beige 11","Essence","Powder Foundation","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","349963","Essence All About Matt Oil Control Paper","Essence","Oil Control Paper","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","400680","Essence Eyebrow Designer Pencil Black 01","Essence","Brows","1",NA,"Black",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","400681","Essence Eyebrow Designer Pencil Brown 02","Essence","Brows","1",NA,"Brown",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","400682","Essence Eyebrow Designer Pencil Blonde 04","Essence","Brows","1",NA,"Brown",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","400683","Essence Eyebrow Designer Pencil Soft Blonde 05","Essence","Brows","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","400702","Essence Eyebrow Styling Set Natural Brunette 02","Essence","Brows","1",NA,"Brown",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","400703","Essence Eyebrow Stylist Set Natural Blonde 02","Essence","Brows","1",NA,"Yellow",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","400704","Essence Eyebrow Tweezer","Essence","Tweezers","1",NA,"Multi",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","400711","Essence Lash and Brow Gel Mascara","Essence","Mascara","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","400712","Essence Make Up Bag","Essence","Cosmetic and Toiletry Bags","1",NA,"Multi",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","400713","Essence Precise Eyeliner Brush","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","400753","Essence Sun Club Matt Bronzing Powder Sun Kissed10","Essence","Bronzer","1",NA,"Brown",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","400754","Essence Sun Club Large Bronzing Powder 02","Essence","Bronzer","1",NA,"Brown",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","400767","Essence Stay All Day 16H Long LastingConcealer Natural Beige 10","Essence","Concealer","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","400768","Essence Stay All Day 16H Long Lasting ConcealerSoft Beige 20","Essence","Concealer","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","400771","essence make-up and powder sponges","Essence","Face Brushes and Applicators","1",NA,"Multi",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","400825","Essence Nail Art Kit Designer Set","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","400839","Essence Nail Art Stampy Designs 01","Essence","Nail Art","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","400842","Essence Nail Art Stampy Set 01","Essence","Nail Art","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","400852","Essence 2in1 Profi Nail File","Essence","Nail Care","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","400853","Essence Bufferfile 6 in 1","Essence","Nail Care","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","400864","Essence Profi Nail File 4in1","Essence","Nail Care","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","400866","Essence Studiom Nails 2 Way Profi File","Essence","Nail Care","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","400870","Essence Studio Nails Banana File","Essence","Nail Care","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","400885","Essence Studio Nails Rosewood Sticks","Essence","Nail Care","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","400886","Essence Studio Nails Sweet Mini File","Essence","Nail Care","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","410011","Essence Lash Princess Volume Mascara","Essence","Mascara","1",NA,"Black",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","410056","Essence French Manicure Crerative Tip GuidesFrom Heaven With Love 02","Essence","Nail Care","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","410057","Essence Gel Look Nail Plumping Top Coat","Essence","Nail Polish","1",NA,"Clear",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","415963","Essence Eye Blender Brush","Essence","Eye Care and Brushes","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","415966","Essence Make Me Brow Eyebrow Gel MascaraBlondy Brown","Essence","Mascara","1",NA,"Brown",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","415967","Essence Make Me Brow Eyebrow Gel MascaraBrowny Brows 02","Essence","Mascara","1",NA,"Brown",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","415994","Essence Studio Nails Cuticle Remover Pen","Essence","Nail Care","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","415995","Essence Studio Nails Nail Care Pen","Essence","Nail Care","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","415996","Essence Studio Nail Polish Corrector Pen","Essence","Nail Care","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","416000","Essence Falsa Lash Effect Mascara Princess 12ml","Essence","Mascara","1",NA,"Black",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","416004","Essence Long Lasting Eye Pencil Purple Grey 20","Essence","Eye Liner","1",NA,"Grey",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","416061","essence the gel nail polish 01","Essence","Nail Polish","1",NA,"White",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","416064","essence the gel nail polish 04","Essence","Nail Polish","1",NA,"Pink",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","416066","essence the gel nail polish 07","Essence","Nail Polish","1",NA,"Pink",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","416068","essence the gel nail polish 09","Essence","Nail Polish","1",NA,"Pink",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","416073","essence the gel nail polish 14","Essence","Nail Polish","1",NA,"Red",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","416075","essence the gel nail polish 16","Essence","Nail Polish","1",NA,"Red",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","416080","essence the gel nail polish 21","Essence","Nail Polish","1",NA,"Blue",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","416088","essence the gel nail polish 31","Essence","Nail Polish","1",NA,"Blue",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","416089","essence the gel nail polish 35","Essence","Nail Polish","1",NA,"Pink",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","416091","essence the gel nail polish base coat","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","416092","essence the gel nail polish top coat","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","416134","essence the gel nail polish 05","Essence","Nail Polish","1",NA,"Pink",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","416135","essence the gel nail polish 24","Essence","Nail Polish","1",NA,"Pink",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","416139","essence the gel nail polish 33","Essence","Nail Polish","1",NA,"White",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","416141","essence the gel nail polish 36","Essence","Nail Polish","1",NA,"Pink",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","416143","essence the gel nail polish 38","Essence","Nail Polish","1",NA,"Yellow",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","416145","essence the gel nail polish 40","Essence","Nail Polish","1",NA,"Green",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","416148","essence the gel nail polish 44","Essence","Nail Polish","1",NA,"Gold",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","416150","essence the gel nail polish 46","Essence","Nail Polish","1",NA,"Black",NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","426436","Essence I Love Extreme Volume Mascara Waterproof","Essence","Mascara","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426445","Essence All About Nudes Eyeshadow 02","Essence","Eye Shadow","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426451","Essence Sheer And Shine Lipstick BFF 03","Essence","Lipstick","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426454","Essence Sheer And Shine Lipstick 07","Essence","Lipstick","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426460","Essence Sheer And Shine Lipstick 13","Essence","Lipstick","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426469","Essence Matt Touch Blush Peach Me Up 10","Essence","Blusher","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426470","Essence Matt Touch Blush Berry Me Up 20","Essence","Blusher","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426480","Essence The Gel Nail Polish Va Va Voom 47","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426481","Essence Gel Nail Polish My Love Diary 48","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426484","Essence Gel Nail Polish Amazed By You 52","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426532","Essence All About Roses Eyeshadow 03","Essence","Eye Shadow","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426536","Essence Lashes To Impress Single Lashes 01","Essence","False Eyelashes","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426538","Essence Lashes To Impress Half Lashes 03","Essence","False Eyelashes","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426550","Essence Longlasting Lipliner Ready For Red 01","Essence","Lip Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426551","Essence Longlasting Lipliner Sweetheart 02","Essence","Lip Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426552","Essence Longlasting Lipliner Yummy Berry 03","Essence","Lip Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426554","Essence Long Lasting Lipliner Lovely Frappucino 05","Essence","Lip Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426555","Essence Longlasting Lipliner A Girl's Dream 06","Essence","Lip Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426556","Essence Long Lasting Lipliner Plum Cake 07","Essence","Lip Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426557","Essence Long Lasting Lipliner Girl Next Door 08","Essence","Lip Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426568","Essence Camouflage Cream Concealer Natural Beige10","Essence","Concealer","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426594","Essence French Beautifying Manicure Nail PolishGirls Best French 01","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426595","Essence French Beautifying Manicure Nail PolishFrenchs Are Forever 02","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","426608","Essence Studio Nails Professional Cuticle Pusher","Essence","Nail Care","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","434078","Essence I Love Colour Intensifying Eyeshadow Base","Essence","Eye Shadow","1","4ml",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","COS","445709","Essence The False Lashes Mascara DramaticVolume Unlimited","Essence","Mascara","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","445710","Essence The False Lashes Extreme Volume and CurlMascara Black","Essence","Mascara","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","445717","Essence Camouflage 2in1 Make Up and ConcealerIvory Beige 10","Essence","Concealer","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","445718","Essence Camouflage 2in1 Make Up and ConcealerNude Beige 20","Essence","Concealer","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","445719","Essence Camouflage 2in1 Make Up and ConcealerHoney 30","Essence","Concealer","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","445722","Essence The Gel Nail Polish More Than A Feeling 73","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","445723","Essence The Gel Nail Polish Pretty Cool Life 83","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","445724","Essence The Gel Nail Polish Gossip Girl 87","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","445824","Essence Rock'n'Doll Crazy XXXL Volumizing MascaraBlack","Essence","Mascara","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COS","445825","Essence Extreme Lasting Eye Pencil Black Love 01","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COS","445826","Essence Extreme Lasting Eye Pencil But FirstEspresso 02","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COS","445827","Essence Extreme Lasting Eye Pencil Black MidnightSky 03","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COS","445830","Essence Extreme Lasting Eye Pencil Silky Nude 06","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COS","445831","Essence Kajal Pencil N'Iced Coffee 28","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COS","445850","Essence Matt Matt Matt Lipgloss La Vie Est Belle01","Essence","Lip Gloss","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COS","445851","Essence Matt Matt Matt Lipgloss La Vie Est Belle02","Essence","Lip Gloss","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COS","445852","Essence Matt Matt Matt Lipgloss Girl Of Today 03","Essence","Lip Gloss","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COS","445854","Essence Matt Matt Matt Lipgloss Simply Be An Icon05","Essence","Lip Gloss","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COS","445859","Essence Strobing Highlighter Let It Glow 10","Essence","Eye Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","445861","Essence Matt Touch Blush Rose Me Up 30","Essence","Blusher","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","445863","Essence The Gel Nail Polish Perfect Match 75","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COS","445953","Essence Eyebrow Brush","Essence","Brows","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","445967","Essence Longlasting Lipliner Be A Game Changer 11","Essence","Lip Liner","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COS","445968","Essence Balmy Kiss Moisturising Lip Care Beauty OnThe Go 02","Essence","Lip Balm","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","445969","Essence Balmy Kiss Moisturising Lip Care Cant LiveWithout 03","Essence","Lip Balm","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","445970","Essence Balmy Kiss Moisturising Lip Care Treat MeRight 04","Essence","Lip Balm","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","COS","445979","Essence The Gel Nail Polish Pllump Power 72","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COS","445980","Essence The Gel Nail Polish Feels Like Birthday 74","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COS","445982","Essence The Gel Nail Polish Blue So True 79","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COS","445983","Essence The Gel Nail Polish Jeans On 80","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COS","445984","Essence The Gel Nail Polish So What 81","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COS","445985","Essence The Gel Nail Polish My Hula Hoop 82","Essence","Nail Polish","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","COS","445987","Essence French Manicure Tip Painter Its PerfectlyFind 01","Essence","Nail Care","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
