"PSA_1","PSA_2","Article","Web Description","Brand","Type","Pack Qty","Size","Colour","Age","Washable","Power","Assembly","Model Number","Material","Capacity","DQ Score"
"TOI","BAB","289750","Wilko Baby Cotton Wool 100pk","Wilko","Cotton Wool and Buds","1","100 Pack",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","BAB","289751","Wilko Baby Cotton Wool Pleat 200g","Wilko","Cotton Wool and Buds","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAB","341239","Wilko Baby Baby Shampoo 500ml","Wilko","Baby Shampoo and Soap",NA,"500ml",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAB","346744","Wilko Baby Talc 500g","Wilko","Talc","1","500g",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","BAB","69934","Wilko Baby Cotton Wool Roll 250g","Wilko","Cotton Wool and Buds","1","250g",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","BAB","81306","Wilko Soft Cotton Wool Balls Baby 200s","Wilko","Cotton Wool and Buds","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAB","33079","Woodwards Gripe Water Alcohol and Sugar Free150ml","Woodwards","Baby Bath, Lotion and Oils",NA,"150ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAC","288854","Bathtime Buddies 2 Little Ducks","Bathtime Buddies","Bath Toys",NA,NA,"Multi",NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAC","271249","Tommee Tippee Close To Nature Breast and BottleFeeding Teats 2pk","Tommee Tippee","Teats","2pk","3Months",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"TOI","BAC","271250","Tommee Tippee Closer To Nature Fast Flow Teats 2pk","Tommee Tippee","Teats","1","6 Months",NA,"6 Months",NA,NA,NA,NA,NA,NA,0.941666666666667
"TOI","BAC","281690","Tommee Tippee Closer To Nature Bottle 260ml 2pk","Tommee Tippee","Feeding Bottles","1","260ml",NA,"Birth",NA,NA,NA,NA,NA,NA,0.941666666666667
"TOI","BAC","421396","Tommee Tippee Active Sports Bottle 12+ Months","Tommee Tippee","Cups and Beakers","1","300ML",NA,"12 Months Plus",NA,NA,NA,NA,NA,NA,0.9
"TOI","BAC","421397","Tommee Tippee Insulated Active Straw Cup 12+Months","Tommee Tippee","Cups and Beakers","1","260ML",NA,"12 Months Plus",NA,NA,NA,NA,NA,NA,0.9
"TOI","BAC","421398","Tommee Tippee Insulated Active Sippee Cup 12+Months","Tommee Tippee","Cups and Beakers","1","260ML",NA,"12 Months Plus",NA,NA,NA,NA,NA,NA,0.9
"TOI","BAC","319812","Wilko Baby Plug Socket Protectors White 6pk","Wilko","Socket Covers","6pk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAC","319813","Wilko Baby Long Multi-Purpose Locks White 2pk","Wilko","Latches and Catches","2pk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAC","319814","Wilko Baby Drawer Latches 4pk","Wilko","Latches and Catches","1","4 Pack",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","BAC","319815","Wilko Baby Corner Guards Clear 4pk","Wilko","Corner Gards","1","4 Pack",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","BAC","347410","Wilko Night Soother Dummies 6 - 18 Months","Wilko","Soothers","1",NA,"Multi","6 months +",NA,NA,NA,NA,NA,NA,0.941666666666667
"TOI","BAC","347415","Wilko Silicone Teats Fast Flow 2pk 6+ Months","Wilko","Teats","2",NA,NA,"3 months +",NA,NA,NA,NA,NA,NA,0.883333333333333
"TOI","BAC","347416","Wilko Silicone Teats Med Flow 2pk 3+ Months","Wilko","Teats","2",NA,NA,"3 months +",NA,NA,NA,NA,NA,NA,0.883333333333333
"TOI","BAC","347417","Wilko Bottle Wide Neck 250ml","Wilko","Feeding Bottles","1","250ml",NA,"From Birth",NA,NA,NA,NA,NA,NA,0.941666666666667
"TOI","BAC","347427","Wilko Wide Neck Fast Flow Teat 2pk","Wilko","Teats","1","Wide Neck",NA,"3 months +",NA,NA,NA,NA,NA,NA,0.941666666666667
"TOI","BAC","347434","Wilko Toddler Plastic Cutlery 3pk","Wilko","Cutlery","3","Toddler","Multi","12 months +",NA,NA,NA,NA,NA,NA,0.95
"TOI","BAC","347435","Wilko Toddler Plates 3pk","Wilko","Bowls and Plates","3",NA,"Multi",NA,NA,NA,NA,NA,NA,NA,0.85
"TOI","BAC","347436","Wilko Toddler Bowls 3pk","Wilko","Bowls and Plates","3",NA,"Multi",NA,NA,NA,NA,NA,NA,NA,0.85
"TOI","BAC","347459","Wilko Bottle and Teat Brush","Wilko","Bottle Brush","1",NA,NA,"0+Months",NA,NA,NA,NA,NA,NA,0.883333333333333
"TOI","BAC","347469","Wilko Sunshade","Wilko","Travel Accessories","1",NA,NA,"0+Months",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAC","347473","Wilko Baby Scissors","Wilko","Tools and Accessories","1",NA,NA,"0+Months",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","456899","Dove Baby Wipes Sensitive 50pk","Dove","Baby Wipes ","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","BAN","228965","Huggies Wipes Natural Care Aloe Vera and Vitamin E56pk","Huggies","Baby Wipes","64pk","64",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","228966","Huggie Baby Wipes Pure 56pk","Huggies","Baby Wipes","1","56 Wipes",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"TOI","BAN","253765","Huggies Dry Nites Pyjama Pants Girls 4-7 Years10pk","Huggies","Pyjama Pants","10pk","17-30kg",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","253766","Huggies Dry Nites Pyjama Pants Boys 4-7 Years10pk","Huggies","Pyjama Pants","10pk","17-30kg - 2st 10lbs-4st 10lbs",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","288087","Huggies Dry Nites Pyjama Pants Boys 8-15 Years 9pk","Huggies","Pyjama Pants","9pk","8-15Yrs",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","288088","Huggies Drynites Pyjama Pants Girls 8-15 Years 9pk","Huggies","Pyjama Pants","1","8-15Yrs",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","439842","Swimmies Swim Pants Unisex Medium 11pk","Huggies","Swim Nappies","11","Size Medium Swimpants 12kg  27lb",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"TOI","BAN","439354","Johnson's Extra Sensitive Fragrance Free BabyWipes 56pk","Johnsons","Baby Wipes","56",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","BAN","439355","Johnson's Gentle All Over Baby Wipes 56pk","Johnsons","Baby Wipes","56",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","BAN","439361","Johnson's Extra Sensitive Fragrance Free BabyWipes 4pk","Johnsons","Baby Wipes","56",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"TOI","BAN","271187","Pampers Baby Dry Size 4+ Maxi Plus 24pk","Pampers","Nappies","1","Maxi Plus",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","271188","Pampers Baby Dry Size 5 Junior 23pk","Pampers","Nappies","23pk","Stage 5, Junior",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","271189","Pampers Baby Dry Size 5+ Junior Plus 22pk","Pampers","Nappies","22pk","Junior Plus",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","290664","Pampers New Baby Nappies Size 1 22pk","Pampers","Nappies","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","290665","Pampers New Baby Size 2 32pk","Pampers","Nappies","32pk","Stage 2, Mini",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","290666","Pampers New Baby Size 3 Midi 29pk","Pampers","Nappies","1","Stage 3",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","307112","Pampers Sensitive Baby Wipes 56pk","Pampers","Baby Wipes","56pk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","307113","Pampers Baby Wipes Fragrance Free 64pk","Pampers","Baby Wipes","64pk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","307114","Pampers Fragrance Free Baby Wipes 64pk","Pampers","Baby Wipes","1","64 Wipes",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","341558","Pampers Baby Dry Size 6 Extra Large Nappies 19pk","Pampers","Nappies","19pk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","341566","Pampers Baby Dry 6+ Extra Large Plus Nappies 19pk","Pampers","Nappies","19pk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","417461","Pampers Baby Dry Size 6 Extra Large 33pk","Pampers","Nappies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
