"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Age","DQ Score"
"TOI","FAC","277500","Olay Double Action Night Cream Normal and Dry 50ml","Olay","4.8CM","6.4CM","6.3CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","277777","Olay Complete Care Day Cream Normal and Dry SPF1550ml","Olay","4.8CM","6.4CM","6.3CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","309642","Olay Gentle Cleansers Refreshing Toner 200ml","Olay","16.9CM","6.8CM","3.8CM","Cleansing Lotion","200ml",NA,"1",NA,1
"TOI","FAC","325863","Olay Total Effects 7in1 Anti-Ageing FragranceFree 50ml","Olay","10.2CM","5.4CM","5.1CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","325866","Olay Total Effects Night Cream 50ml","Olay","10.2CM","5.4CM","5.1CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","325985","Olay Complete BB cream Medium SPF15 50ml","Olay","10.2CM","5.4CM","5.1CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","351632","Olay Anti Wrinkle Daily Lotion 100ml","Olay","12.5CM","7.0CM","3.4CM","Facial Moisturisers","100ml",NA,"1",NA,1
"TOI","FAC","351633","Olay Essential Care Day Cream Sensitive 50ml","Olay","5.0CM","6.4CM","6.4CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","351634","Olay Complete Care BB Cream Medium 50ml","Olay","13.8CM","4.0CM","3.8CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","351636","Olay Total Effects Age Defying MoisturiserSPF15 50ml","Olay","10.2CM","5.4CM","5.1CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","207395","Palmers Cocoa Butter Lotion 250ml","Palmers","18.9CM","8.4CM","3.8CM","Body Moisturiser","250ml",NA,"1",NA,1
"TOI","FAC","207397","Palmers Cocoa Butter Lotion For Stretch Marks250ml","Palmers","20.2CM","7.1CM","3.6CM","Stretch Marks and Scars","250ml",NA,"1",NA,1
"TOI","FAC","433560","Palmers Coconut Oil Body Lotion 250ml","Palmers","19.0CM","8.5CM","4.5CM","Body Moisturiser","250ml",NA,"1",NA,1
"TOI","FAC","433561","Palmers Coconut Oil Hand Cream 60g","Palmers","12.0CM","6.0CM","4.5CM","Hand Cream","60G",NA,"1",NA,1
"TOI","FAC","163799","Simple Kind To Skin Soothing Facial Toner 200ml","Simple","16.0CM","5.6CM","4.0CM","Cleansing Lotion","200ml",NA,"1",NA,1
"TOI","FAC","170376","Simple Kind To Skin Moisturising Facial Wash 150ml","Simple","15.5CM","7.6CM","4.8CM","Face Wash","150ml",NA,"1",NA,1
"TOI","FAC","192787","Simple Eye Makeup Remover 125ml","Simple","13.7CM","5.1CM","3.4CM","Make Up Removers and Wipes","125ml",NA,"1",NA,1
"TOI","FAC","238385","Simple Replenishing Rich Moisturiser 125ml","Simple","14.2CM","5.5CM","3.7CM","Body Moisturiser","125ml",NA,"1",NA,1
"TOI","FAC","33454","Simple Purifying Cleansing Lotion 200ml","Simple","16.0CM","5.6CM","4.0CM","Cleansing Lotion","200ml",NA,"1",NA,1
"TOI","FAC","437549","Simple Regeneration Age Resisting Day CreamSPF15 50ml","Simple","9.9CM","5.1CM","5.1CM","Face Cream","50ml",NA,"1",NA,1
"TOI","FAC","437550","Simple Regeneration Age Resisting Facial Wash150ml","Simple","15.5CM","5.0CM","5.0CM","Face Wash","150ml",NA,"1",NA,1
"TOI","FAC","253629","Vaseline Intensive Care Essential Lotion 400ml","Vaseline","20.3CM","7.8CM","4.2CM","Body Moisturiser","400ml",NA,"1",NA,1
"TOI","FAC","33372","Vaseline Essential Healing Body Lotion 200ml","Vaseline","16.3CM","6.7CM","3.0CM","Body Moisturiser","200ml",NA,"1",NA,1
"TOI","FAC","452955","Vaseline Cocoa Radiant Lotion 200ml","Vaseline","16.4CM","6.9CM","3.2CM","Body Moisturiser","200ml",NA,"1",NA,1
"TOI","FAC","49970","Vaseline Intensive Care Advanced RepairLotion 200ml","Vaseline","16.3CM","6.7CM","3.0CM","Body Moisturiser","200ml",NA,"1",NA,1
"TOI","FAC","84534","Vaseline Healthy Hands and Stronger Nails HandCream 200ml","Vaseline","16.3CM","6.9CM","3.1CM","Hand Cream","200ml",NA,"1",NA,1
"TOI","FAC","452970","Wilko Aloe Vera Body Lotion 400ml","Wilko","20.5CM","6.9CM","4.5CM","Body Moisturiser","400ml",NA,"1",NA,1
"TOI","FAC","452971","Wilko Cocoa Butter Body Cream 400ml","Wilko","20.5CM","6.9CM","4.5CM","Body Moisturiser","400ml",NA,"1",NA,1
"TOI","FAC","456297","Wilko Intense Hand Lotion 75ml","Wilko","13.8CM","5.4CM","3.5CM","Hand Cream","75ml",NA,"1",NA,1
"TOI","FEM","117027","Charlie Red Body Spray 75ml","Charlie","15.2CM","3.5CM","3.5CM","Female Bodysprays","75ml",NA,"1",NA,1
"TOI","FEM","217443","Charlie Pink Body Spray 75ml","Charlie","15.2CM","3.5CM","3.5CM","Female Bodysprays","75ml",NA,"1",NA,1
"TOI","FEM","243347","Charlie Black Body Spray 75ml","Charlie","15.2CM","3.5CM","3.5CM","Female Bodysprays","75ml",NA,"1",NA,1
"TOI","FEM","252010","Charlie Touch Body Spray 75ml","Charlie","15.2CM","3.5CM","3.5CM","Female Bodysprays","75ml",NA,"1",NA,1
"TOI","FEM","150415","Dove Roll On Original 50ml","Dove","11.3CM","4.3CM","4.3CM","Female Deodorant","50ml",NA,"1",NA,1
"TOI","FEM","243410","Dove Invisible Dry Roll On 48 Hour 40ml","Dove","11.5CM","5.5CM","3.1CM","Female Deodorant","40ml",NA,"1",NA,1
"TOI","FEM","243411","Dove Invisible Roll On 50ml","Dove","11.3CM","4.3CM","4.3CM","Female Deodorant","50ml",NA,"1",NA,1
"TOI","FEM","264313","Dove Anti-Perspirant Spray Original 250ml","Dove","21.7CM","5.0CM","5.0CM","Female Deodorant","250ml",NA,"1",NA,1
"TOI","FEM","269945","Dove Anti-Perspirant Spray Invisible 250ml","Dove","21.7CM","5.0CM","5.0CM","Female Deodorant","250ml",NA,"1",NA,1
"TOI","FEM","319899","Dove Go Fresh Anti-Perspirant 250ml","Dove","21.9CM","5.0CM","5.0CM","Female Deodorant","250ml",NA,"1",NA,1
"TOI","FEM","412065","Dove Roll On Soft Feel 50ml","Dove","11.3CM","4.5CM","4.5CM","Female Deodorant","50ml",NA,"1",NA,1
"TOI","FEM","450023","Dove Deodorant Go Fresh 250ml","Dove","21.9CM","5.0CM","5.0CM","Female Deodorant","250ml",NA,"1",NA,1
"TOI","FEM","451483","Dove Original Spray Deodorant 150ml","Dove","17.9CM","4.5CM","4.5CM","Female Deodorant","150ml",NA,"1",NA,1
"TOI","FEM","79305","Imperial Leather Anti-Perspirant Original 150ml","Imperial Leather","17.8CM","4.5CM","4.5CM","Female Deodorant","150ml",NA,"1",NA,1
"TOI","FEM","304186","Impulse Very Pink Body Spray 75ml","Impulse","15.2CM","3.5CM","3.5CM","Female Bodysprays","75ml",NA,"1",NA,1
"TOI","FEM","450024","Impulse Body Spray Instant Crush 75ml","Impulse","15.6CM","3.5CM","3.5CM","Female Bodysprays","75ml",NA,"1",NA,1
"TOI","FEM","73596","Impulse Tease Body Spray 75ml","Impulse","15.2CM","3.5CM","3.5CM","Female Bodysprays","75ml",NA,"1",NA,1
"TOI","FEM","83047","Impulse True Love Body Spray 75ml","Impulse","15.2CM","3.5CM","3.5CM","Female Bodysprays","75ml",NA,"1",NA,1
"TOI","FEM","193066","Mitchum Roll on Unperfumed 50ml","Mitchum","10.2CM","4.5CM","4.5CM","Female Deodorant","50ml",NA,"1",NA,1
"TOI","FEM","193068","Mitchum Roll On Powderfresh 50ml","Mitchum","10.2CM","4.5CM","4.5CM","Female Deodorant","50ml",NA,"1",NA,1
"TOI","FEM","236974","Mitchum Anti-Perspirant Unscented 150ml","Mitchum","17.5CM","4.4CM","4.4CM","Female Deodorant","150ml",NA,"1",NA,1
"TOI","FEM","244640","Nivea Anti-Perspirant Pearl and Beauty 48 Hour150ml","Nivea","17.2CM","4.4CM","4.4CM","Female Deodorant","150ml",NA,"1",NA,1
"TOI","FEM","250289","Nivea Deodorant Roll On Pearl and Beauty 50ml","Nivea","10.6CM","4.0CM","4.0CM","Female Deodorant","50ml",NA,"1",NA,1
"TOI","FEM","315929","Nivea Anti-Perspirant Invisible Black and White150ml","Nivea","17.5CM","4.5CM","4.5CM","Female Deodorant","150ml",NA,"1",NA,1
"TOI","FEM","320724","Nivea Roll On Invisible For Black and White 50ml","Nivea","10.9CM","4.0CM","4.0CM","Female Deodorant","50ml",NA,"1",NA,1
"TOI","FEM","346544","Nivea Anti-Perspirant Pearl & Beauty 250ml","Nivea","21.3CM","4.8CM","4.8CM","Female Deodorant","250ml",NA,"1",NA,1
"TOI","FEM","346545","Nivea Anti-Perspirant Invisible Black and White250ml","Nivea","21.3CM","4.8CM","4.8CM","Female Deodorant","250ml",NA,"1",NA,1
"TOI","FEM","402956","Nivea Anti-Perspirant Stress Protect 50ml","Nivea","11.0CM","4.1CM","4.1CM","Female Deodorant","50ml",NA,"1",NA,1
"TOI","FEM","413845","Nivea Anti-Perspirant Dry Confidence 48 Hour 150ml","Nivea","16.7CM","4.5CM","4.5CM","Female Deodorant","150ml",NA,"1",NA,1
"TOI","FEM","430664","Nivea Protect and Care Deo 150ml","Nivea","16.7CM","4.5CM","4.5CM","Female Deodorant","150ml",NA,"1",NA,1
"TOI","FEM","449639","Nivea Anti Perspirant 250mlBlack and White Invisible","Nivea","20.7CM","5.0CM","5.0CM","Female Deodorant","250ml",NA,"1",NA,1
"TOI","FEM","195475","Sanex Dermo Invisible Anti-Perspirant 150ml","Sanex","17.8CM","4.4CM","4.4CM","Female Deodorant","150ml",NA,"1",NA,1
"TOI","FEM","195482","Sanex Dermo Sensitive Anti-Perspirant 150ml","Sanex","17.8CM","4.4CM","4.4CM","Female Deodorant","150ml",NA,"1",NA,1
"TOI","FEM","206455","Sanex Roll On Invisible 50ml","Sanex","10.2CM","4.6CM","4.6CM","Female Deodorant","50ml",NA,"1",NA,1
"TOI","FEM","332722","Sanex Anti-Perspirant Invisible Dry 250ml","Sanex","21.5CM","5.0CM","5.0CM","Female Deodorant","250ml",NA,"1",NA,1
"TOI","FEM","350188","Soft & Gentle Anti-Perspirant Wildrose & Vanilla150ml","Soft & Gentle","17.8CM","4.3CM","4.3CM","Female Deodorant","150ml",NA,"1",NA,1
"TOI","FEM","189013","Sure Anti-Perspirant Cotton Dry 250ml","Sure","23.5CM","5.0CM","5.0CM","Female Deodorant","250ml",NA,"1",NA,1
"TOI","FEM","286471","Sure Roll On Invisible Aqua 50ml","Sure","11.6CM","4.3CM","4.3CM","Female Deodorant","50ml",NA,"1",NA,1
"TOI","FEM","304183","Sure 48 Hour  Roll On Bright Bouquet 50ml","Sure","11.0CM","4.5CM","4.5CM","Female Deodorant","50ml",NA,"1",NA,1
"TOI","FEM","304184","Sure Anti-Perspirant Bright Bouquet 250ml","Sure","23.5CM","5.0CM","5.0CM","Female Deodorant","250ml",NA,"1",NA,1
"TOI","FEM","332844","Sure Anti-Perspirant Bright Bouquet 75ml","Sure","14.7CM","3.8CM","3.8CM","Female Deodorant","75ml",NA,"1",NA,1
"TOI","FEM","335748","Sure Maximum Protection Anti-Perspirant Cream 45ml","Sure","11.1CM","6.5CM","4.2CM","Female Deodorant","45ml",NA,"1",NA,1
"TOI","FEM","49930","Sure Cool Blue Roll On 50ml","Sure","11.6CM","4.3CM","4.3CM","Female Deodorant","50ml",NA,"1",NA,1
"TOI","FEM","62791","Sure Roll-On Cotton Dry 50ml","Sure","11.6CM","4.3CM","4.3CM","Female Deodorant","50ml",NA,"1",NA,1
"TOI","FEM","286997","Vaseline Anti-Perspirant Active Fresh 250ml","Vaseline","21.4CM","5.0CM","5.0CM","Female Deodorant","250ml",NA,"1",NA,1
"TOI","FEM","95808","Vaseline Roll On Fresh 50ml","Vaseline","11.3CM","4.3CM","4.3CM","Female Deodorant","50ml",NA,"1",NA,1
"TOI","FEM","95809","Vaseline Roll On Active 50ml","Vaseline","11.3CM","4.3CM","4.3CM","Female Deodorant","50ml",NA,"1",NA,1
"TOI","FEM","342707","Wilko Sassy Body Spray 75ml","Wilko","16.0CM","3.5CM","3.5CM","Female Bodysprays","75ml",NA,"1",NA,1
"TOI","FEM","342740","Wilko Bliss Body Spray 75ml","Wilko","16.0CM","3.5CM","3.5CM","Female Bodysprays","75ml",NA,"1",NA,1
"TOI","FEM","342927","Wilko Anti-Perspirant Radiance Care 200ml","Wilko","18.5CM","4.9CM","4.9CM","Female Deodorant","200ml",NA,"1",NA,1
"TOI","FEM","343585","Wilko Rhythm Body Spray 75ml","Wilko","16.0CM","3.5CM","3.5CM","Female Bodysprays","75ml",NA,"1",NA,1
"TOI","FEM","344853","Wilko Scandal Body Spray 75ml","Wilko","16.0CM","3.5CM","3.5CM","Female Bodysprays","75ml",NA,"1",NA,1
"TOI","FEM","345025","Wilko Blissful Body Spray 75ml","Wilko","16.0CM","3.5CM","3.5CM","Female Bodysprays","75ml",NA,"1",NA,1
"TOI","FEM","345026","Wilko Fantasy Body Spray 75ml","Wilko","16.0CM","3.5CM","3.5CM","Female Bodysprays","75ml",NA,"1",NA,1
"TOI","FOO","352495","Aptamil Growing Up Milk 1-2 Years 900g","Aptamil","19.9CM","13.0CM","12.4CM","Powdered Milk","900g",NA,"1","12-24 months",1
"TOI","FRU","347555","Wilko  Body Scrub 250mlStrawberry and Pomegranate","Wilko","19.1CM","7.5CM","4.6CM","Face Washes and Body Scrubs","250ml",NA,"1",NA,1
"TOI","FRU","347558","Wilko Fruits Hand Lotion 250mlStrawberry and Pomegranate","Wilko","14.0CM","9.5CM","4.0CM","Hand Cream","250ml",NA,"1",NA,1
"TOI","FRU","347559","Wilko Fruits Hand Wash 250mlStrawberry and Pomegranate","Wilko","13.2CM","9.5CM","3.8CM","Hand Wash","250ml",NA,"1",NA,1
"TOI","FRU","347560","Wilko Fruits Bath Foam 250mlCoconut and Vanilla","Wilko","22.1CM","10.5CM","4.5CM","Bubble Bath, Creams and Oils","500ml",NA,"1",NA,1
"TOI","FRU","347561","Wilko Fruits Shower Gel 250mlCoconut and Vanilla","Wilko","19.1CM","7.5CM","4.6CM","Shower Gel and Body Wash","250ml",NA,"1",NA,1
"TOI","FRU","347565","Wilko Fruits Hand Lotion 250mlCoconut and Vanilla","Wilko","14.0CM","9.5CM","4.0CM","Hand Cream","250ml",NA,"1",NA,1
"TOI","FRU","347566","Wilko Fruits Handwash 250mlCoconut and Vanilla","Wilko","13.2CM","9.5CM","3.8CM","Hand Wash","250ml",NA,"1",NA,1
"TOI","FRU","347588","Wilko Fruits Bath Foam 250mlRhubarb and Vanilla","Wilko","22.1CM","10.5CM","4.5CM","Bubble Bath, Creams and Oils","500ml",NA,"1",NA,1
"TOI","FRU","347589","Wilko Fruits Shower Gel 250mlRhubarb and Vanilla","Wilko","19.1CM","7.5CM","4.6CM","Shower Gel and Body Wash","250ml",NA,"1",NA,1
"TOI","FRU","347590","Wilko Fruits Body Scrub 250mlRhubarb and Vanilla","Wilko","19.1CM","7.5CM","4.6CM","Face Washes and Body Scrubs","250ml",NA,"1",NA,1
"TOI","FRU","347593","Wilko Fruits Hand Lotion 250mlRhubarb and Vanilla","Wilko","14.0CM","9.5CM","4.0CM","Hand Cream","250ml",NA,"1",NA,1
"TOI","FRU","347594","Wilko Fruits Hand Wash Rhubarb and Vanilla 250ml","Wilko","13.2CM","9.5CM","3.8CM","Hand Wash","250ml",NA,"1",NA,1
"TOI","FRU","347595","Wilko Fruits Bath Foam 500mlPassion Fruit and Watermelon","Wilko","22.1CM","10.5CM","4.5CM","Bubble Bath, Creams and Oils","500ml",NA,"1",NA,1
"TOI","FRU","347596","Wilko Fruits Shower Gel 250mlPassion Fruit and Watermelon","Wilko","19.1CM","7.5CM","4.6CM","Shower Gel and Body Wash","250ml",NA,"1",NA,1
"TOI","FRU","347597","Wilko Fruits Body Scrub 250mlPassion Fruit and Watermelon","Wilko","19.1CM","7.5CM","4.6CM","Face Washes and Body Scrubs","250ml",NA,"1",NA,1
"TOI","FRU","347600","Wilko Fruit Hand Lotion 250mlPassion Fruit and Melon","Wilko","14.0CM","9.5CM","4.0CM","Soap","250ml",NA,"1",NA,1
"TOI","FRU","347601","Wilko Fruits Hand Wash 250mlPassion Fruit and Watermelon","Wilko","13.2CM","9.5CM","3.8CM","Hand Wash","250ml",NA,"1",NA,1
"TOI","FRU","347616","Wilko Fruits Bath Foam 500mlStrawberry and Pomegranate","Wilko","22.1CM","10.5CM","4.5CM","Bubble Bath, Creams and Oils","500ml",NA,"1",NA,1
"TOI","FRU","347617","Wilko Fruits Shower Gel 250mlStrawberry and Pomegranate","Wilko","19.1CM","7.5CM","4.6CM","Shower Gel and Body Wash","250ml",NA,"1",NA,1
"TOI","FRU","347682","Wilko Fruits Bath Bomb Strawberry andPomegranate 170g","Wilko","7.0CM","7.0CM","7.0CM","Bath Bombs and Salts","170g",NA,"1",NA,1
"TOI","FRU","347685","Wilko Fruits Bath Bomb 170gCoconut and Vanilla","Wilko","7.0CM","16.0CM","7.0CM","Bath Bombs and Salts","170g",NA,"1",NA,1
"TOI","FRU","347697","Wilko Fruits Bath Bomb 170gRhubarb and Vanilla","Wilko","7.0CM","7.0CM","7.0CM","Bath Bombs and Salts","170g",NA,"1",NA,1
"TOI","FRU","347700","Wilko Fruits Bath Bomb 170gPassion Fruit and Watermelon","Wilko","7.0CM","7.0CM","7.0CM","Bath Bombs and Salts","170g",NA,"1",NA,1
"TOI","FRU","457507","Wilko Fruits Hand Lotion and Hand Wash Duo Pack","Wilko","16.0CM","10.5CM","17.1CM","Hand Gift Set","250ml",NA,"2",NA,1
"TOI","FRU","457508","Wilko Fruits Limited Edition Cranberry BodySouffle 200ml","Wilko","7.2CM","8.5CM","8.5CM","Body Moisturisers","200ml",NA,"1",NA,1
"TOI","FRU","457511","Wilko Fruits Bath Bomb Tin Gift Set","Wilko","7.8CM","18.2CM","24.5CM","Bath Bombs and Salts","1020g",NA,"6",NA,1
"TOI","FRU","457512","Wilko Fruits Limited Edition Cranberry Bath Bomb","Wilko","16.0CM","8.0CM","6.4CM","Bath Bombs and Salts","170g",NA,"1",NA,1
"TOI","FRU","457513","Wilko Fruits Nectarine and Passionfruit Bath Bomb","Wilko","16.0CM","8.0CM","6.4CM","Bath Bombs and Salts","170g",NA,"1",NA,1
"TOI","FRU","457514","Wilko Fruits Watermelon and Guava Bath Bomb","Wilko","16.0CM","8.0CM","6.4CM","Bath Bombs and Salts","170g",NA,"1",NA,1
"TOI","FRU","457515","Wilko Fruits Blueberry and Morello Bath Bomb","Wilko","16.0CM","8.0CM","6.4CM","Bath Bombs and Salts","170g",NA,"1",NA,1
"TOI","MAY","286418","Maybelline Color Sensational Lipstick 842Rosewood Pearl","Maybelline","7.5CM","2.2CM","2.2CM","Lipstick","4.2g","Red","1",NA,1
"TOI","MAY","295913","Maybelline Dream Satin Liquid Foundation 60Caramel 30ml","Maybelline","10.8CM","3.3CM","3.3CM","Liquid Foundation","30ml","Brown","1",NA,1
"TOI","MAY","296759","Maybelline Color Sensational Lipstick 150 StellarPink","Maybelline","7.5CM","2.2CM","2.2CM","Lipstick","4.2g","Pink","1",NA,1
"TOI","MAY","296761","Maybelline Color Sensational Lipstick 338Midnight Plum","Maybelline","7.5CM","2.2CM","2.2CM","Lipstick","4.2g","Purple","1",NA,1
"TOI","MAY","296809","Maybelline SuperStay 7 Days Gel Nail PolishCrystal","Maybelline","7.8CM","2.0CM","4.0CM","Nail Polish","10ml","Clear","1",NA,1
"TOI","MAY","296813","Maybelline SuperStay 7 Days Nail Polish 78Porcelain","Maybelline","7.8CM","2.0CM","4.2CM","Nail Polish","10ml","Cream","1",NA,1
"TOI","MAY","296815","Maybelline SuperStay 7 Days Nail Polish 19 GoldenBrown","Maybelline","7.8CM","2.0CM","4.4CM","Nail Polish","10ml","Brown","1",NA,1
"TOI","MAY","296844","Maybelline Dream Matte Mousse Foundation SPF 1504 Light Porcelain","Maybelline","3.2CM","5.7CM","5.7CM","Liquid Foundation","18g","Cream","1",NA,1
"TOI","MAY","296846","Maybelline Dream Matte Mousse Foundation SPF 1510 Ivory","Maybelline","3.2CM","5.7CM","5.7CM","Liquid Foundation","18g","Cream","1",NA,1
"TOI","MAY","297411","Maybelline Master Drama Khol Eyeliner Ultra Black","Maybelline",".9CM",".9CM","12.9CM","Eye Liner","5g","Black","1",NA,1
"TOI","MAY","302598","Maybelline Lasting Drama Gel Eyeliner 01 Black","Maybelline","15.5CM","3.7CM","4.3CM","Eye Liner","50g","Black","1",NA,1
"TOI","MAY","302602","Maybelline Dream Lumi Touch Concealer 02 Nude","Maybelline","1.3CM","1.3CM","12.6CM","Concealer","1.8g","Brown","1",NA,1
"TOI","MAY","302603","Maybelline Dream Lumi Touch Concealer 03 Sand","Maybelline","1.3CM","1.3CM","12.6CM","Concealer","1.8g","Brown","1",NA,1
"TOI","MAY","302604","Maybelline SuperStay 24hr Dual Ended LipstickDelicious Pink","Maybelline","13.2CM","1.7CM","1.7CM","Lipstick","5.5ml","Pink","1",NA,1
"TOI","MAY","302605","Maybelline SuperStay 24hr Dual Ended LipstickRose Dust","Maybelline","13.2CM","1.7CM","1.7CM","Lipstick","5.5ml","Red","1",NA,1
"TOI","MAY","302606","Maybelline SuperStay 24hr Dual Ended LipstickRaspberry","Maybelline","13.2CM","1.7CM","1.7CM","Lipstick","5g","Red","1",NA,1
"TOI","MAY","302607","Maybelline SuperStay 24hr Dual Ended LipstickPlum Seduction","Maybelline","13.2CM","1.7CM","1.7CM","Lipstick","5.5ml","Purple","1",NA,1
"TOI","MAY","302610","Maybelline SuperStay 24hr Dual Ended LipstickAbsolute Plum","Maybelline","1.8CM","1.8CM","13.2CM","Lipstick","5.5ml","Purple","1",NA,1
"TOI","MAY","302612","Maybelline SuperStay 24hr Dual Ended Lipstick 510Red Passion","Maybelline","1.7CM","1.7CM","13.2CM","Lipstick","5g","Red","1",NA,1
"TOI","MAY","302616","Maybelline SuperStay 24hr Dual Ended LipstickSoft Taupe","Maybelline","13.2CM","1.8CM","1.8CM","Lipstick","5.5ml","Blue","1",NA,1
"TOI","MAY","321044","Maybelline Color Tattoo 24hr Cream Eyeshadow 05Eternal Gold","Maybelline","2.2CM","4.4CM","4.4CM","Eye Shadow","50g","Gold","1",NA,1
"TOI","MAY","321045","Maybelline Color Tattoo 24hr Cream Eyeshadow 35On and On Bronze","Maybelline","2.2CM","4.4CM","4.4CM","Eye Shadow","50g","Metal","1",NA,1
"TOI","MAY","329667","Maybelline Fit Me! Concealer 10 Light","Maybelline","11.5CM","1.5CM","1.5CM","Concealer","6.8ml","Brown","1",NA,1
"TOI","MAY","329669","Maybelline Fit Me! Concealer 20 Sand","Maybelline","11.5CM","1.5CM","1.5CM","Concealer","6.8ml","Brown","1",NA,1
"TOI","MAY","329693","Maybelline SuperStay 7 Days Gel Nail PolishDivine Wine","Maybelline","7.8CM","2.0CM","4.0CM","Nail Polish","10ml","Purple","1",NA,1
"TOI","MAY","432112","Maybelline The Falsies Push Up Drama Mascara VeryBlack","Maybelline","12.8CM","2.1CM","2.1CM","Mascara","12ml","Black","1",NA,1
"TOI","MAY","432113","Maybelline The Blushed Nudes Eyeshadow Palette","Maybelline","1.2CM","7.5CM","12.7CM","Eye Shadow","50g","Multi","1",NA,1
"TOI","MAY","432120","Maybelline Color Sensational Blushed NudesLipstick 107 Fairly Bare","Maybelline","7.5CM","2.2CM","2.2CM","Lipstick","12g","Cream","1",NA,1
"TOI","MAY","432121","Maybelline Color Sensational Blushed Nudes Lipstic117 Tip Top Tulle","Maybelline","7.5CM","2.2CM","2.2CM","Lipstick","12g","Purple","1",NA,1
"TOI","MAY","432122","Maybelline Color Sensational Blushed NudesLipstick 157 More to Adore","Maybelline","7.5CM","2.2CM","2.2CM","Lipstick","12g","Pink","1",NA,1
"TOI","MAY","432123","Maybelline Color Sensational Blushed NudesLipstick 207 Pink Fling","Maybelline","7.5CM","2.2CM","2.2CM","Lipstick","12g","Pink","1",NA,1
"TOI","MAY","432124","Maybelline Volum' Express Lash SensationalMascara 02 Brown","Maybelline","12.8CM","2.3CM","2.3CM","Mascara","12ml","Brown","1",NA,1
"TOI","MAY","432127","Maybelline SuperStay 24hr Dual Ended Lipstick 620In The Nude","Maybelline","13.2CM","1.7CM","1.7CM","Lipstick","12g","Orange","1",NA,1
"TOI","MAY","432130","Maybelline SuperStay 24hr Dual Ended Lipstick 130Pinking Of You","Maybelline","13.2CM","1.7CM","1.7CM","Lipstick","12g","Pink","1",NA,1
"TOI","MAY","432134","Maybelline SuperStay 7 Days Gel Nail Polish 140Rose Rapture","Maybelline","7.8CM","2.0CM","4.0CM","Nail Polish","15ml","Pink","1",NA,1
"TOI","MAY","432135","Maybelline SuperStay 7 Days Gel Nail Polish 160Magenta Surge","Maybelline","7.8CM","2.0CM","4.0CM","Nail Polish","15ml","Pink","1",NA,1
"TOI","MAY","432137","Maybelline SuperStay 7 Days Gel Nail Polish 493Blood Orange","Maybelline","7.8CM","2.0CM","4.0CM","Nail Polish","15ml","Orange","1",NA,1
"TOI","MAY","432138","Maybelline SuperStay 7 Days Gel Nail Polish 73Snowed In","Maybelline","7.8CM","2.0CM","4.0CM","Nail Polish","15ml","White","1",NA,1
"TOI","MAY","432141","Maybelline Brow Drama Eyebrow Crayon 2 MediumBrown","Maybelline","1.6CM","1.8CM","9.1CM","Brows","10g","Brown","1",NA,1
"TOI","MAY","432142","Maybelline Brow Drama Eyebrow Crayon 4 Dark Brown","Maybelline","1.6CM","1.8CM","9.1CM","Brows","10g","Brown","1",NA,1
"TOI","MAY","432143","Maybelline Color Show 5th Ave Matte Nail Polish453 High Heel","Maybelline","6.8CM","2.5CM","2.5CM","Nail Polish","15ml","Red","1",NA,1
"TOI","MAY","432144","Maybelline Color Show 5th Ave Matte Nail Polish455 Traffic Stop","Maybelline","6.8CM","2.5CM","2.5CM","Nail Polish","15ml","Red","1",NA,1
"TOI","MAY","432145","Maybelline Color Show 5th Ave Matte Nail Polish456 Wine At 5","Maybelline","6.8CM","2.5CM","2.5CM","Nail Polish","15ml","Purple","1",NA,1
"TOI","MAY","432146","Maybelline SuperStay 3D Gel Effect Plumping TopCoat","Maybelline","7.8CM","2.0CM","4.0CM","Nail Polish","15ml","Clear","1",NA,1
"TOI","MAY","432147","Maybelline Baby Lips Lip Balm and Blush InnocentPeach","Maybelline","4.9CM","3.3CM","4.1CM","Lip Balm","12ml","Orange","1",NA,1
"TOI","MAY","432148","Maybelline Baby Lips Lip Balm and Blush FlirtyPink","Maybelline","4.9CM","3.3CM","4.1CM","Lip Balm","12ml","Pink","1",NA,1
"TOI","MAY","432149","Maybelline Baby Lips Lip Balm and Blush BoomingRuby","Maybelline","4.9CM","3.3CM","4.1CM","Lip Balm","12ml","Red","1",NA,1
"TOI","MAY","432152","Maybelline The Nudes Eyeshadow Palette","Maybelline","1.1CM","7.5CM","12.7CM","Eye Shadow","50g","Multi","1",NA,1
"TOI","MAY","432154","Maybelline Color Sensational Matte Lipstick 930Nude Embrace","Maybelline","7.5CM","2.2CM","2.2CM","Lipstick","15ml","Orange","1",NA,1
"TOI","MAY","437841","Maybelline Fit Me Matte  Poreless Foundation 220Natural Beige","Maybelline","11.6CM","4.6CM","3.0CM","Liquid Foundation",NA,NA,NA,NA,1
