"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Age","DQ Score"
"TOI","COS","434093","Essence Superfine Eyeliner Pen Black Waterproof","Essence","13.5CM","1.0CM","1.0CM","Eye Liner","1ml","Black","1",NA,1
"TOI","COS","434131","Essence The Gel Nail Polish Be Awesome Tonight 55","Essence","6.9CM","2.9CM","2.9CM","Nail Polish","8ml","Pink","1",NA,1
"TOI","COS","434133","Essence The Gel Nail Polish Need Your Love 58","Essence","6.9CM","2.9CM","2.9CM","Nail Polish","8ml","Black","1",NA,1
"TOI","COS","434147","Essence Eyebrow Gel Colour and Shape Brown 01","Essence","3.0CM","3.6CM","3.6CM","Brows","3ml","Brown","1",NA,1
"TOI","COS","434159","Essence Longlasting Lipliner Berry On My Mind 10","Essence","12.5CM",".9CM",".9CM","Lip Liner","0.230g","Purple","1",NA,1
"TOI","COS","434167","Essence Mosaic Blush All You Need Is Pink 20","Essence","1.2CM","6.4CM","6.4CM","Blusher",NA,NA,NA,NA,1
"TOI","COS","434169","Essence Mosaic Blush The Berry Connection 40","Essence","1.2CM","6.4CM","6.4CM","Blusher",NA,NA,NA,NA,1
"TOI","COS","434170","Essence All I Need Concealer Palette Cover It All10","Essence","12.0CM","4.0CM","13.0CM","Concealer",NA,NA,NA,NA,1
"TOI","COS","434180","Essence The Gel Nail Polish You and Me 56","Essence","6.9CM","2.9CM","2.9CM","Nail Polish","8ml","Purple","1",NA,1
"TOI","COS","434183","Essence The Gel Nail Polish Love Me Like You Do 67","Essence","6.9CM","2.9CM","2.9CM","Nail Polish","8ml","Purple","1",NA,1
"TOI","COS","434184","Essence The Gel Nail Polish Free Hugs 68","Essence","6.9CM","2.9CM","2.9CM","Nail Polish","8ml","Purple","1",NA,1
"TOI","COS","434188","Essence 2 In 1 Base and Top Coat","Essence","6.3CM","2.8CM","2.8CM","Top Coat","8ml","Clear","1",NA,1
"TOI","COS","453538","Essence Luminous Matt Bronzing Powder 01","Essence","1.3CM","7.4CM","7.4CM","Bronzer",NA,NA,NA,NA,1
"TOI","COS","453541","Essence Instant Matt Setting Spray","Essence","12.4CM","3.3CM","3.3CM","Priming and Setting",NA,NA,NA,NA,1
"TOI","COS","453590","Essence 2in1 Highlight and Contouring Stick 10","Essence","11.5CM","1.7CM","1.7CM","Contouring",NA,NA,NA,NA,1
"TOI","COS","453591","Essence 2in1 Highlight and Contouring Stick 20","Essence","11.5CM","1.7CM","1.7CM","Contouring",NA,NA,NA,NA,1
"TOI","COS","453593","Essence Luminous Matt Bronzing PowderSunglow 02","Essence","1.3CM","7.4CM","7.4CM","Bronzer",NA,NA,NA,NA,1
"TOI","COS","453594","Essence Blush Play Sculpt Blush Pallete 10","Essence","1.2CM","11.5CM","5.5CM","Bronzer",NA,NA,NA,NA,1
"TOI","COS","453595","Essence Blush Play Sculpt Blush Pallete 20","Essence","1.2CM","11.5CM","5.5CM","Bronzer",NA,NA,NA,NA,1
"TOI","COS","453598","Essence Cover Stick Matt Naturelle 10","Essence","7.6CM","2.0CM","2.0CM","Concealer",NA,NA,NA,NA,1
"TOI","COS","453599","Essence Cover Stick Matt Sand 20","Essence","7.6CM","2.0CM","2.0CM","Concealer",NA,NA,NA,NA,1
"TOI","COS","453600","Essence Cover Stick Matt Honey 30","Essence","7.6CM","2.0CM","2.0CM","Concealer",NA,NA,NA,NA,1
"TOI","COS","453652","Essence Instant Matt Make-Up Matt Sand 20","Essence","11.5CM","4.5CM","1.8CM","Liquid Foundation",NA,NA,NA,NA,1
"TOI","COS","453654","Essence My Must Haves Bronzing Powder 01","Essence",".8CM","3.8CM","3.8CM","Bronzer",NA,NA,NA,NA,1
"TOI","COS","453655","Essence My Must Haves Fixing Powder 01","Essence",".8CM","3.8CM","3.8CM","Powder Foundation",NA,NA,NA,NA,1
"TOI","COS","453656","Essence My Must Haves Highlight Powder 01","Essence",".8CM","3.8CM","3.8CM","Powder Foundation",NA,NA,NA,NA,1
"TOI","COS","453657","Essence Mosaic Blush 35","Essence","1.2CM","6.4CM","6.4CM","Blusher",NA,NA,NA,NA,1
"TOI","COS","453658","Essence My Must Haves Matt Blush 01","Essence",".8CM","3.8CM","3.8CM","Blusher",NA,NA,NA,NA,1
"TOI","COS","453659","Essence My Must Haves Matt Blush 02","Essence",".8CM","3.8CM","3.8CM","Blusher",NA,NA,NA,NA,1
"TOI","COS","453660","Essence My Must Haves Satin Blush 01","Essence",".8CM","3.8CM","3.8CM","Blusher",NA,NA,NA,NA,1
"TOI","COS","453661","Essence My Must Haves Satin Blush 02","Essence",".8CM","3.8CM","3.8CM","Blusher",NA,NA,NA,NA,1
"TOI","COS","453662","Essence My Must Haves Satin Blush 03","Essence",".8CM","3.8CM","3.8CM","Blusher",NA,NA,NA,NA,1
"TOI","COS","453663","Essence Rainbow Glow Highlighter 10","Essence","1.3CM","7.4CM","7.4CM","Blusher",NA,NA,NA,NA,1
"TOI","DEN","456346","Aquafresh Toothbrush Medium 3pk","Aquafresh","24.0CM","7.0CM","1.5CM","Toothbrushes",NA,NA,NA,NA,1
"TOI","EYE","209843","Optrex Refreshing Eye Drops 10ml","Optrex","7.7CM","3.6CM","2.4CM","Eye Drops, Sprays and Brighteners","10ml",NA,"1",NA,1
"TOI","EYE","278765","Optrex Eye Wash 100ml","Optrex","10.7CM","6.3CM","6.3CM","Eye Drops, Sprays and Brighteners","100ml",NA,"1",NA,1
"TOI","EYE","296547","Optrex Actimist 10ml","Optrex","9.5CM","5.3CM","2.7CM","Eye Drops, Sprays and Brighteners","10ml",NA,"1",NA,1
"TOI","FAA","402742","Tresemme Heat Retainer Hair Brush Large","Tresemme","26.5CM","7.5CM","6.5CM","Combs and Brushes","Large","Black","1",NA,1
"TOI","FAA","402743","Tresemme Oval Cushion Hair Brush","Tresemme","26.4CM","7.6CM","4.3CM","Combs and Brushes","Oval","Black","1",NA,1
"TOI","FAA","296232","Wilko Nail Polish Remover Acetone Free 250ml","Wilko","16.5CM","5.2CM","5.2CM","Nail Polish Remover","250ml","Multi","1",NA,1
"TOI","FAA","298170","Wilko Skin Therapy Cotton Wool Pads Oval Large50pk","Wilko","13.8CM","8.5CM","7.0CM","Cotton Wool and Buds",NA,NA,NA,NA,1
"TOI","FAA","298172","Wilko Skin Therapy Cotton Wool Pads Dual Faced100pk","Wilko",".0%O",".0%O",".0%O","Cotton Wool and Buds",NA,NA,NA,NA,1
"TOI","FAA","298175","Wilko Skin Therapy Cotton Wool Balls 70g","Wilko","5.5CM","18.0CM","28.0CM","Cotton Wool and Buds",NA,NA,NA,NA,1
"TOI","FAA","349109","Wilko Mini Hair Elastics 300pk","Wilko","1.5CM","10.5CM","5.8CM","Bands, Bobbles and Scrunchies","300 Pack","Black","1",NA,1
"TOI","FAA","349112","Wilko Hair Bobbles Thick Black 12pk","Wilko","10.5CM","6.5CM","3.0CM","Bands, Bobbles and Scrunchies","12 Pack","Black","1",NA,1
"TOI","FAA","349117","Wilko Hair Donut  Brunette Med","Wilko","9.0CM","9.0CM","3.5CM","Bands, Bobbles and Scrunchies","Medium","Brown","1",NA,1
"TOI","FAA","349119","Wilko Hair Donut  Brunette Small","Wilko","6.0CM","6.0CM","2.5CM","Bands, Bobbles and Scrunchies","Small","Brown","1",NA,1
"TOI","FAA","349120","Wilko Hair Donut  Brunette Large","Wilko","12.0CM","12.0CM","5.5CM","Bands, Bobbles and Scrunchies","Large","Brown","1",NA,1
"TOI","FAA","349140","Wilko Fashion Hair Slides Large 6pk","Wilko","13.0CM","7.5CM","1.0CM","Clips, Slides and Grips","Large","Gold","1",NA,1
"TOI","FAA","349147","Wilko Donut Hair Pins 30pk","Wilko","13.0CM","6.5CM","1.0CM","Clips, Slides and Grips","30 Pack","Multi","1",NA,1
"TOI","FAA","349148","Wilko Hair Grips Long 50pk","Wilko","9.5CM","6.0CM","1.8CM","Clips, Slides and Grips","50 Pack","Black","1",NA,1
"TOI","FAA","349151","Wilko Hair Grips Blonde Medium 50pk","Wilko","5.5CM","4.5CM","4.5CM","Clips, Slides and Grips","50 Pack","Gold","1",NA,1
"TOI","FAA","349152","Wilko Hair Grips Brown Long 50pk","Wilko","9.5CM","6.0CM","1.5CM","Clips, Slides and Grips","50 Pack","Brown","1",NA,1
"TOI","FAA","349153","Wilko Hair Grips Brown Medium 50pk","Wilko","5.5CM","4.5CM","4.5CM","Clips, Slides and Grips","50 Pack","Brown","1",NA,1
"TOI","FAA","349162","Wilko Hair Clamp Large","Wilko","13.0CM","7.5CM","4.5CM","Clips, Slides and Grips","Large","Brown","1",NA,1
"TOI","FAA","350138","Wilko Standard Foam Hair Rollers Small","Wilko","2.0CM","18.0CM","9.0CM","Rollers","Small","Pink","1",NA,1
"TOI","FAA","437391","Wilko Cosmetic Storage","Wilko","16.0CM","11.5CM","11.5CM","Storage Container",NA,NA,NA,NA,1
"TOI","FAC","434664","Atrixo Enriched Moisturising Cream 50ml","Atrixo","3.2CM","5.7CM","5.7CM","Hand Cream","50ml",NA,"1",NA,1
"TOI","FAC","351452","Aveeno Skin Relief Lotion 75ml","Aveeno","18.0CM","7.8CM","4.8CM","Hand Cream","75ml",NA,"1",NA,1
"TOI","FAC","452888","Aveeno Daily Moist Hand Cream 75ml","Aveeno","12.8CM","6.3CM","4.0CM","Hand Cream","75ml",NA,"1",NA,1
"TOI","FAC","452923","Aveeno Daily Moisturising Lotion 200ml","Aveeno","18.5CM","7.9CM","5.0CM","Body Moisturiser","200ml",NA,"1",NA,1
"TOI","FAC","249712","Bio-Oil 60ml","Bio-Oil","10.8CM","4.6CM","4.6CM","Stretch Marks and Scars","60ml",NA,"1",NA,1
"TOI","FAC","440385","Blistex Intensive Moisturiser SPF10","Blistex","13.0CM","1.6CM","7.5CM","Hand Cream","5g",NA,"1",NA,1
"TOI","FAC","136771","Clean & Clear Daily Scrub Blackhead Clearing 150ml","Clean & Clear","16.7CM","7.6CM","4.5CM","Face Wash","150ml",NA,"1",NA,1
"TOI","FAC","351484","Clean & Clear Advanced Gel 15ml","Clean & Clear","10.7CM","3.4CM","2.2CM","Face Wash","15ml",NA,"1",NA,1
"TOI","FAC","454551","Dove Coconut Oil and Almond Cream 250ml","Dove","9.8CM","9.8CM","5.1CM","Body Moisturiser","250ml",NA,"1",NA,1
"TOI","FAC","126221","E45 Dermatological Moisturising Lotion 200ml","E45","16.0CM","7.0CM","3.0CM","Dermatological Cream","200ml",NA,"1",NA,1
"TOI","FAC","249627","E45 Dermatological Cream 350g","E45","9.1CM","8.6CM","8.6CM","Dermatological Cream","350g",NA,"1",NA,1
"TOI","FAC","33359","E45 Dermatological Cream 50g","E45","4.1CM","13.9CM","3.2CM","Dermatological Cream","50g",NA,"1",NA,1
"TOI","FAC","218473","Garnier Skin Naturals Ultra Lift Night AntiWrinkle Firming Cream 50ml","Garnier","6.2CM","6.3CM","6.4CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","303358","Garnier Intensive 7 Days Aloe Vera Body LotionNormal Skin 250ml","Garnier","19.1CM","7.7CM","3.4CM","Body Moisturiser","250ml",NA,"1",NA,1
