"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","DQ Score"
"422993","Wilko Underbed Box Blue 32L","Wilko","Storage Box with Lid","Multi","1","40x60x19cm","Polypropelyne",1
"422994","Wilko Underbed Box Pink 32L","Wilko","Storage Box with Lid","Multi","1","40x60x19cm","Polypropelyne",1
"422996","Wilko Underbed Box Pink 45L","Wilko","Storage Box with Lid","Multi","1","40x60x27cm","Polypropelyne",1
