"Article","Web Description","Brand","Type","Colour","Pack Qty","DQ Score"
"317301","Wilko A4 Presentation Card Sheets 160gsm x 50","Wilko","Card","White","50s",1
"416353","Wilko White Card 220GSM A4 FSC 15 Sheets","Wilko","Craft Paper and Card","White","15",1
"416354","Wilko Card 220GSM A4 FSC Black 10 Sheets","Wilko","Craft Paper and Card","Black","10",1
"452693","Wilko Animal Print Tissue Paper 10pk","Wilko","Craft Paper and Card","Multi","10",1
"452694","Wilko A4 Animal Print Card 220gsm 10pk","Wilko","Craft Paper and Card","Multi","10",1
"452695","Wilko Kraft Card A4 10 Sheets","Wilko","Craft Paper and Card","Multi","10",1
"453380","Wilko A4 White Card 210gsm","Wilko","Craft Paper and Card","White","1",1
"453381","Wilko A4 Black Card 210gsm","Wilko","Craft Paper and Card","Black","1",1
"453382","Wilko A4 Vivid Red Card 210gsm","Wilko","Craft Paper and Card","Red","1",1
"453383","Wilko Vivid Orange Card A4 210gsm","Wilko","Craft Paper and Card","Orange","1",1
"453384","Wilko A4 Vivid Yellow Card 210gsm","Wilko","Craft Paper and Card","Yellow","1",1
"453385","Wilko A4 Vivid Green Card 210gsm","Wilko","Craft Paper and Card","Green","1",1
"453386","Wilko A4 Vivid Blue Card 210gsm","Wilko","Craft Paper and Card","Blue","1",1
"453387","Wilko A3 White Card 210gsm","Wilko","Craft Paper and Card","White","1",1
"453388","Wilko A3 Black Card 210gsm","Wilko","Craft Paper and Card","Black","1",1
"453389","Wilko A3 Vivid Red 210gsm","Wilko","Craft Paper and Card","Red","1",1
"453390","Wilko A3 Vivid Orange 210gsm","Wilko","Craft Paper and Card","Orange","1",1
"453391","Wilko A3 Vivid Yellow 210gsm","Wilko","Craft Paper and Card","Yellow","1",1
"453392","Wilko A3 Vivid Green 210gsm","Wilko","Craft Paper and Card","Green","1",1
"453393","Wilko A3 Vivid Blue 210gsm","Wilko","Craft Paper and Card","Blue","1",1
"453394","Wilko A2 White Card 210gsm","Wilko","Craft Paper and Card","White","1",1
"453395","Wilko A2 Black Card 210gsm","Wilko","Craft Paper and Card","Black","1",1
"453396","Wilko A2 Vivid Red Card 210gsm","Wilko","Craft Paper and Card","Red","1",1
"453397","Wilko A2 Vivid Orange Card 210gsm","Wilko","Craft Paper and Card","Orange","1",1
"453398","Wilko A2 Vivid Yellow Card 210gsm","Wilko","Craft Paper and Card","Yellow","1",1
"453399","Wilko A2 Vivid Green Card 210gsm","Wilko","Craft Paper and Card","Green","1",1
"453400","Wilko A2 Vivid Blue Card 210gsm","Wilko","Craft Paper and Card","Blue","1",1
