"Article","Web Description","Brand","Type","Colour","Power","Size","Assembly","DQ Score"
"416339","La Hacienda Squat Chimenea Pewter","La Hacienda","Chimineas",NA,NA,"72x36.5x36.5","Yes",0.883333333333333
"416341","La Hacienda Colorado Contemporary Chimenea Medium","La Hacienda","Chimineas","Black",NA,"125x45x45","Yes",0.941666666666667
"416343","La Hacienda Albion Steel Fire Bowl Black","La Hacienda","Firepits","Black",NA,"41x51x51","Yes",0.941666666666667
"432100","La Hacienda Parasol Patio Heater 2400W","La Hacienda","Outdoor Heaters",NA,"2400W",NA,"No",0.883333333333333
"455203","La Hacienda Universal Cowboy Cookout Stove","La Hacienda","Charcoal Stove",NA,NA,"92cm Height x 45cm Width x 46cm Depth","Yes",0.833333333333333
"455204","La Hacienda Garden Tripod with Hanging Grill","La Hacienda","Firepit Grill",NA,NA,"172cm Height x 128cm Width x 108cm Depth","Yes",0.833333333333333
"455205","La Hacienda Garden Firepit Kala Oxidised","La Hacienda","Firepits",NA,NA,"38cm Height x 56cm Diameter","Yes",0.833333333333333
"455206","La Hacienda Garden Firepit Denver Stainless Steel","La Hacienda","Firepits",NA,NA,"54cm Height  x 61cm Diameter","Yes",0.833333333333333
"455207","La Hacienda Garden Firebasket Minnesota Steel","La Hacienda","Firebaskets",NA,NA,"45cm Height x 34cm Width x Depth 34cm","Yes",0.833333333333333
"455208","La Hacienda Garden Firebasket Alberta Steel","La Hacienda","Firebaskets",NA,NA,"51cm Height x 43cm Diameter","Yes",0.833333333333333
"455209","La Hacienda Chimenea Skyline Contemporary Steel","La Hacienda","Chimneas",NA,NA,"150cm Height x 36cm Width x 36cm Depth","Yes",0.833333333333333
"455211","La Hacienda Handmade Chimenea Copper Effect94cm High","La Hacienda","Chimneas",NA,NA,"94cm Height x 40cm Diameter","Yes",0.833333333333333
"lh00006","La Hacienda Murcia Steel Chimenea Large","La Hacienda","Chimineas","Black",NA,NA,"Yes",0.833333333333333
