"Article","Web Description","Brand","Type","Colour","Size","DQ Score"
"416346","La Hacienda Patio Heater Wall Mounted 2000W","La Hacienda","Outdoor Heaters","Black","25x50",1
"416347","La Hacienda Patio Heater Adjustable Standing 2000W","La Hacienda","Outdoor Heaters","Black","180-210x50x48",1
